Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
m/z,89.0248020228,115.003781245,116.072054751,130.0875132845,130.0874396979,145.0983184002,146.0463092759,168.991290782,173.10464138,179.0564516628,181.0729419106,184.9860042274,259.0228639454,267.0739939784,308.1016269826,346.0563696456
RT (s),917.9989417876,1430.8812976491,1129.1670262962,1033.5184376171,992.9430756883,1624.1706940925,1328.3291681838,1377.5931907757,1724.8960430102,1448.3623578608,1236.9950648458,1452.8217172876,1445.4157820363,1012.1987344943,1233.8351804139,1188.7654581422
ppm Error,4.5158514213,1.0326182507,3.0562997256,2.4082599522,1.842590387,0.1268119203,2.8023704982,2.9041848739,1.3944165675,1.963977089,6.3063569387,1.6445966979,1.4050704486,6.3427305339,9.5000556815,1.6461063823
RT Error (s),75.4789417876,86.0412976491,102.0870262962,100.2784376171,59.7030756883,45.6306940925,108.5891681838,104.5131907757,64.3360430102,64.6423578608,95.1350648458,72.6417172876,91.9357820363,95.8787344943,101.6951804139,87.4054581422
010-04020-02,149271188,11004584,21762500,12324424,40292988,8109648,54554582,6001914,7505341,14097297,20120688,15659810,6085369,2659585,120365416,7798583
010-04023,79101786,9894880,10341873,5057225,17736057,6396181,49383265,1559947,4324068,7388791,9715995,4162427,2523314,2523298,97389816,2244710
010-04050-02,98761873,15155490,16404990,8667048,27949749,13563506,57024994,3499283,5544327,11132003,11746651,3431473,6892771,2940200,119735349,4761560
010-04072,97540608,10557021,11908054,7440306,20988770,4219104,46805982,4200293,3804229,7824235,8167999,9788430,1646519,2297797,86740441,2586042
010-04077-02,188217677,15947140,25065184,14004517,44489331,16346481,70352129,2403770,7428175,16796569,16437164,3264573,3365947,3316086,89124372,2787860
010-04111-02,162569301,16229375,25290050,14006255,44989038,12690982,56131089,5097675,7517230,14747842,24435671,10307099,4112573,3525427,84532322,4880352
010-04126-02,171180203,19287681,17211821,9350089,28929120,8068104,76740870,9108803,5806407,8173089,9054664,6727790,4729428,3690893,137237401,7014520
010-10013-02,249933297,15996868,32263831,17961820,56249572,19194231,76400531,9622977,9904453,17528171,23550856,42548647,12758831,5875426,146182744,19306186
010-10016-02,122223513,11919056,21100968,9811212,37938050,17411246,65581052,6459000,9467012,9954150,11858048,10485271,7227105,3031683,107193000,8162545
010-14006-02,134349205,12897775,21556042,12879194,40190351,17856164,55516844,12515664,7684406,10963162,15598995,27406994,11452864,3191849,147725838,16637682
010-14012-02,168140546,16974595,21850522,12930402,39407847,19600242,59897700,4964980,5826161,9835777,19634318,13108097,10956427,2898173,114235976,10505884
010-14037-02,92396245,11264420,11946190,6482724,22545972,8004649,46170945,2013603,3736894,4854568,14111056,8775197,3767421,2304705,81455992,6242623
010-14054-02,148540708,12988095,21504505,12207057,40137340,11808326,60239536,2946496,7221768,16854053,14392414,5906791,4968562,3056620,143385081,3011872
010-14065-02,196078899,13318530,20767148,10969528,39575943,2685612,56697958,4747592,4351894,13470701,21683402,21283921,4439081,3826076,90678011,8714461
010-14068-02,159153532,10446850,16998605,9873869,31997744,7653160,57373412,3578336,5361122,10181734,16902292,12321979,4346147,4085708,86996679,5885925
010-20008,208213953,15117182,20657992,12638922,40361904,9727333,67157897,4942305,5907138,11454550,13569300,16865285,2604868,3050015,135080469,6256006
010-20031,169211947,14566985,19890570,11095125,36978262,10690400,64240029,9843045,7025768,9724693,11189187,18543955,5964430,3519597,144313661,8752465
010-20036,188798266,12390907,16443935,8582695,28444909,8607424,73857508,2593219,5027907,7913488,16466790,8539476,3024455,2276079,43266745,3526011
010-20060,132436309,13285159,15861697,8686690,29583734,3279247,44514129,2654852,4095552,5678519,12361924,6999362,1703201,2001957,51027819,2173551
010-20061,124146472,12757957,14347349,8588384,22859152,13120330,54896013,1223528,4541050,13184905,10697437,2069547,5420118,2260028,150140978,3956132
010-20075,230934481,18991473,29503043,16108986,52611064,15813620,86953026,1735821,8102824,14065106,24940140,7792961,2829735,3418998,116469685,2619327
010-20078,125891742,15584154,18692775,10306831,31158451,18145287,60536516,3510581,4582896,13439910,17959739,6777511,9656018,2667865,69184149,5310235
010-20102,151567325,12060679,19547467,10532171,34964108,15408483,73416578,5010506,7384011,8602112,9764492,5504527,7624817,2616585,71353829,5276392
010-20151,298830935,21184631,20062049,10967804,38112836,6194456,88028184,2193943,7225736,13184336,20656866,5949897,2231768,2586323,100724512,3202751
010-20189,147874581,13137043,20963363,12146669,34787708,11466524,60083253,3562089,5560122,14408210,20126477,10342766,3893812,3339441,102354707,3650559
010-20203,214130766,15571972,21799927,11231999,37524725,20828377,72480915,3603149,7945064,11957331,18019015,5506319,6188653,2956518,92673945,2919347
010-20221,139557638,15119151,16463801,10550098,26546025,15359164,64748537,5205168,6891601,13530664,8872291,3858449,3802556,2109483,95915660,2753626
010-20223,85933198,7917181,13092080,7844293,24703030,9117257,45028355,1338145,4273564,7072473,11266444,11229875,3572157,2821010,102873829,5849747
010-20236,106977142,13518061,15582715,7818612,24476421,9869640,72131132,3187709,6342974,10876180,15667437,4933481,3978059,3053095,95343991,3567596
010-20284,87467750,12166816,16528266,9342030,29075713,14613858,71166833,4309364,6799381,10641739,9902337,7074952,5822110,2443721,93177722,4936652
010-20367,154954945,12296638,19949360,11357418,37432316,7006718,55338716,2052354,6036372,12681261,16137486,4826281,2760647,2741729,90024328,3322227
010-20394,171531621,15733436,15748199,8810411,28895423,9120169,52502798,1191389,5774756,8824532,13935464,2093964,1695986,1814870,75990048,1174024
010-20431,125044571,11207635,15705044,9043297,24467688,13369724,40786624,1631127,4529030,11353397,16373570,5465668,5024670,2693049,97606979,3846531
010-20433,121448173,15408221,21438269,9962449,37281171,16219303,75292077,7035689,9823878,13633657,14116684,4592340,6185951,3921199,108256155,5377370
010-20448,112203240,9483040,9429124,5467482,17002929,5546745,52519892,451304,4106974,5555723,11660505,3052837,3715663,2961669,69184898,2714825
010-20460,202427981,16033995,22105916,12693419,42483758,11816822,64337025,837391,6741991,12361782,21818882,4655837,1228409,2779629,104495518,1102098
010-20481,188327511,12721563,20057302,11904846,40023052,6893142,68091593,5595573,6286334,8632684,11148661,4814305,5256120,3120073,84352922,4942923
010-20527,164614568,15872275,19814623,10628823,31209483,15459207,83319211,6184572,7089540,17022566,23240363,13033460,9539602,3579410,103233176,6325374
010-20564,179860013,13974779,20085503,11849179,39288549,3780057,60065439,3361103,4370043,7672732,10122664,7695267,2082674,2907269,143218754,3839608
010-20636,179271998,11598609,19043658,10476354,35535704,4480192,56883455,2157491,5100561,8269571,17662086,21167083,1962260,2372754,99437592,3214871
010-20638,251073493,14953790,23649133,13483442,42014149,4829790,75666072,2527982,5392196,12705529,14710264,22334632,3491459,3039671,151195492,5364502
010-20646,235153862,16056276,25030419,14282192,47155987,16294750,70911711,2585322,8800248,11359389,14681456,11163710,5334404,3687747,93757502,4946338
010-20649,173055189,12827148,15553127,7741286,26324398,7608731,69334727,1613060,4428176,8298105,18250078,4286160,1869058,3152275,100488481,2279549
010-20656,91758510,11521119,13482009,7088743,24083341,7828657,60795539,7016564,6124052,7278799,12314768,7624213,4395056,2881114,92358908,8841463
010-20657,165096996,16134907,22295738,13152838,40630424,5069984,80816718,3301960,6037625,10390944,11149091,9794473,2259619,3038095,127169834,2113668
010-20667,304402705,15975262,30448932,16522639,59434288,15411149,66626337,4627652,9147707,10857740,24630028,18187088,5675572,2834677,133488576,7185270
010-20696,99062655,11186952,13413982,8081447,22901128,5217013,53959818,2430042,3096741,9084767,12797378,6383696,1643350,2950488,116578285,3314639
010-20710,199935525,13386430,20222344,11566128,37616242,5451364,74668268,5847412,5441313,10696947,12017422,13815943,2291258,2919123,88603133,4826611
010-20724,233941984,16972955,30379206,18027911,65700146,5197500,67776821,6388610,7479119,11429666,20735160,31318012,6555607,3594613,117669154,12089846
010-20739,190230710,14741550,29718828,17300727,56323360,15581763,79762906,4365830,8615114,15119303,21040904,4503069,2308853,3339051,125667395,3002803
010-20778,153915586,13653421,19958386,11234365,39168337,6708273,60068321,3085807,6716481,7849947,10006283,3997514,2174766,2231931,117522707,2175336
010-20784,120777442,13809577,19507528,10547723,36380746,16817077,54911446,414056,7397124,10465661,13383511,2812137,2536427,2789037,99945308,1442629
010-20824,181911195,11159864,15738662,8631464,30079100,6394370,39449737,2106217,3610256,6777764,15477728,17582418,3829895,2717703,93215654,5898762
010-20831,208726604,15195107,25960975,15247113,47677340,18257122,64350300,7916264,7943133,14195833,19271407,28322276,8627212,3327100,131966096,9232660
010-20832,94778057,14148297,15071192,7588882,26084624,12898383,70304565,2545950,7468496,5888323,6249832,1269821,1956045,2159976,95524089,1654114
010-20854,104731651,10713737,13063610,8110043,24244886,5375298,51346477,2934734,3363048,6746571,11764626,2521019,3308966,2882165,86478735,2883520
010-20855,246319370,14341434,28488882,15389673,53805079,16648495,74579975,2853711,9069131,13445351,16845585,9744117,2781326,3925606,114670386,3305554
010-20860,211216696,15102013,24818532,13331708,44289520,16722444,72696043,1278480,7487154,13296291,14382260,3447507,3046217,3173212,94922147,2548003
010-20861,229790212,19265915,33167417,19249350,59334889,21372743,88794202,9642559,10313188,16708359,20692130,25288252,9822762,4463622,154903207,14621240
010-20865,207879691,14712763,29564315,17969771,60685363,16081579,66408604,6923016,10195628,14770340,19771556,19348270,8367649,3855969,120039261,8844888
010-20881,182838219,14463261,18542307,9792430,31291704,11350348,64494641,2631354,7479648,9053870,16606979,3269010,3176182,2502089,70148156,3127161
010-20894,129706694,12350821,20036944,10955728,32112754,12169073,55073858,5340216,7753285,9893148,15585084,22626530,6473049,3402899,120371160,11435003
010-20926,191392113,12859179,18267947,11519698,33417246,11150164,57645690,3174201,5774058,8224757,11689147,12264873,3523894,3040212,103631422,7143405
010-20959,127614439,8945767,17029180,10066566,32931627,5516759,40775248,722274,3688898,9748433,9281553,6515298,4311058,3649952,109163128,3819534
010-20972,167525562,15180693,23578520,14243239,39027267,15558869,64038547,3850792,7801062,16674164,17419563,6630271,3877273,3279442,103721173,3430468
010-20989,230478581,12195719,24905125,15651266,53174798,17439172,67303707,3185027,9242302,8475751,14363751,20249674,3906225,3065963,118706319,7258430
010-20994,256440117,15245422,22883767,13613700,43372494,12322367,72412913,5527965,6180576,13035624,22402684,16082448,4314227,4082256,63743767,11570116
010-21013,195348378,13346665,21433380,12127385,39234362,7867014,58440159,3234991,6815982,13084349,17145440,8625268,3377947,3123463,93807774,3514010
010-21020,249135923,16812214,30376933,16426213,54587468,13179089,70877565,10664416,8592939,19262327,27380179,27440892,11777982,6048316,129822516,17209669
010-21049,230226103,17932976,26547785,14293202,46449178,15874285,63169773,1075020,7142178,18626322,30993855,8421513,6245494,4043243,101829659,4283942
010-21060,203904370,22408373,27117652,14646706,46097874,16113680,89172085,3837013,7674065,10959726,20700223,1159724,4317433,2789630,125502116,3269278
010-21096,194229515,19069975,25018389,12971376,39102917,15950617,82979140,3111432,8307500,13171815,20504057,2435357,1590882,3071865,114608614,1884096
010-21097,112590995,10426756,11684214,6825344,21241857,5001826,51355332,231144,3103151,8169717,13398154,5256844,1034240,2633793,116930358,1426145
010-21103,273389705,18743061,23483318,13142770,48287335,7004011,62532274,2262409,5271175,14408014,12008506,21326255,5175909,4326125,132463086,8319520
010-21127,133537371,13380443,17282331,9423406,31032822,13256083,52354051,4997739,5169175,8873723,22165651,12238396,7051190,2957900,77121532,9474741
010-21145,224611097,17257881,27295856,14787808,50311576,20164517,68884596,9707049,9762883,16153100,21358183,28423535,13424053,4658853,76408764,12977805
