list1,,,list2
index,mz,rt,index,rt,mz
,,,0,89.0249362509,944.504179335
,,,1,115.003886637,1467.78119849
,,,2,116.072303686,1184.38238481
,,,3,130.087525405,1044.08872757
,,,4,130.087616092,1086.04573795
,,,5,145.09736112,1646.09925797
0,89.0248020228,917.998941788
,,,6,146.046417722,1382.42003814
,,,7,168.991536233,1423.34032711
,,,8,173.104553321,1754.93725163
,,,9,179.056352395,1487.17894135
,,,10,181.072742974,1295.65701012
,,,11,184.985912657,1484.1597725
,,,12,259.022951797,1445.94888786
,,,13,267.073860798,1062.50635716
,,,14,308.101183394,1286.49910288
,,,15,346.056233804,1238.42226933
1,115.003781245,1430.88129765
2,116.072054751,1129.1670263
3,130.087513285,1033.51843762
4,130.087439698,992.943075688
5,145.0983184,1624.17069409
6,146.046309276,1328.32916818
7,168.991290782,1377.59319078
8,173.10464138,1724.89604301
9,179.056451663,1448.36235786
10,181.072941911,1236.99506485
11,184.986004227,1452.82171729
12,259.022863945,1445.41578204
13,267.073993978,1012.19873449
14,308.101626983,1233.83518041
15,346.056369646,1188.76545814
