Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-20569,204837788,14463649,25894542,55978975,16090318,3465679,60557983,9983941,6390871,10843651,17644845,20594550,7798997,3224469,128424305,8062365
010-20589,352912459,12328828,22846406,52701881,14556327,11876561,53231527,2644459,8428138,10786378,15588590,13582465,4905012,3291402,136876142,4439730
010-20634,167919830,10699090,18274550,34117227,10089946,6310331,57481625,6997887,6844331,8498433,9960522,11099368,5100475,1448704,90443635,5567159
010-20671,70272581,10839593,17357660,32887780,10081379,8654671,65678709,2147063,7162402,12311983,11489511,3958724,601107,1133234,97512905,903470
010-20684,206978158,13085651,23504684,53841854,13904222,5528043,54547058,5536252,6798278,7195530,12586586,21114045,3863805,2652894,185374644,6896534
010-20711,225755152,12570990,19799550,38516815,10163537,12219046,75831646,5869848,8967852,12163041,8755215,14814174,8683224,2192541,151332144,9096164
010-20735,176407158,11258027,26783241,64159190,17395094,15135812,64844901,8441482,9886850,11880979,11040997,17590637,7623059,3469608,147400877,8770059
010-20743,358057043,13200962,28303750,63081524,18054706,25460563,64082416,4270233,9610926,8841673,16539215,12648242,2847057,2551878,102583157,4106579
010-20747,79485391,7411913,6953984,12034630,3872125,773450,29732024,317230,1423629,5947038,10620852,3872720,387519,1284370,65079671,1091946
010-20762,305223246,12516201,33226412,73055348,22143047,2633725,74800017,3154108,7268220,13585941,13452370,17308439,5161734,3689369,155625346,6157392
010-20796,213197850,17231072,14942605,26334407,7688150,1601523,44087271,4741135,3408101,13830415,16376843,14796589,3187490,1847490,124999009,6070393
010-20799,175385113,10205699,16774940,38527138,9748707,6994476,59584979,3738615,5987374,8833902,11382197,15727452,3964564,2739358,73047835,7186599
