Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
m/z,89.024789389,115.0039084593,116.0722845798,130.0875915561,130.0875421434,145.0984065316,146.0464643519,168.9915749493,173.104333699,179.0563329579,181.0725219915,184.9860108607,259.0231573701,267.0737669326,308.0997494667,346.0562495054
RT (s),969.6721845383,1490.9634375804,1226.5307511818,1129.0009734569,1087.4069972869,1659.8823096469,1421.9416775158,1454.8394325049,1774.273288584,1509.6463712923,1340.856275846,1501.4428609394,1473.5544697574,1104.8047530865,1329.5311342278,1279.7449603159
ppm Error,4.3739388127,0.0735564028,5.0363424182,3.0099421106,2.6301015406,0.734202551,3.864194433,4.5857276173,0.3830118396,1.3010315267,3.987305796,1.6804552129,2.5378817075,5.4926122027,3.4062562324,1.2989373475
RT Error (s),127.1521845383,146.1234375804,199.4507511818,195.7609734568,154.1669972869,81.3423096469,202.2016775158,181.7594325049,113.713288584,125.9263712923,198.996275846,121.2628609394,120.0744697574,188.4847530865,197.3911342278,178.3849603159
010-04006,146942763,10076924,22591356,13755209,45471919,13648768,52339778,5535171,8255036,8729442,8237628,8136975,8753339,1691125,171085426,5145137
010-04010-02,210512842,12930837,16726221,8763543,29153161,10572611,60555089,4481737,6365466,7499579,10821750,3892658,4164480,1438574,116965548,3343713
010-04029-02,248003371,11890480,21603444,11328478,39890414,16370150,56631875,3304468,6649780,9661861,13481399,4241318,3664110,1668361,45413577,2825091
010-10032-02,135345972,9380257,15782786,10078322,28593995,10771382,51840415,3817278,6482332,7636602,10456696,7086972,7814981,1428085,105252648,4152515
010-14020-02,303476721,11478592,25652754,16702719,52589275,19378159,61227791,7903435,8371244,10712874,15920297,16216519,15007095,3662081,126468713,12085800
010-14021,80884664,8264728,15582028,8864505,32751398,11079757,51718126,3074824,7211088,8259610,7517194,7769938,6345093,1908745,130234967,6141859
010-14026-02,175232687,10874530,16893658,9147791,32362432,13868738,47489733,4908973,7076498,10208740,12019653,11117814,8761089,3143826,91080269,6559168
010-14055-02,147801032,11094085,15393647,8459281,28348172,12179415,47843478,1300647,5619505,9574095,44672961,6219163,4392183,1992019,27143934,2409214
010-20035,145643205,8643728,21370898,13338113,44525593,17336258,37451585,4069192,9028347,6272208,11388501,15238966,11133699,2759980,80395478,5976694
010-20059,168185585,9023106,15672615,9664139,29159648,13170741,53767576,991493,5993708,6215000,17154857,6155447,3106471,1001997,85182025,2128686
010-20077,85720103,9478816,10426248,6093622,17184351,8380542,39246833,531559,4664647,5717194,12891835,5003994,975153,990754,79023556,930488
010-20123,188575748,13963570,18924879,10926174,34511896,13960612,53308387,2194884,6650144,9380351,17228873,4977274,3002947,1885614,54128837,1816874
010-20131,410040620,17974837,32776641,19767464,70615553,17712372,61800566,2526741,8264010,12878664,18830608,11657890,6239870,3134870,124365456,4465129
010-20212,177766281,11632168,24407685,14127879,51360630,8494963,56204361,2102730,5567728,11733020,11110852,6631291,2662345,2309485,103502382,2291079
010-20235,266958417,18683270,22333168,12712244,40060697,16157908,67030343,3476475,7623492,12023095,23030424,6559185,4358202,2053961,137441699,3403766
010-20251,63056602,7252666,6729238,4353835,10836832,3803843,32054365,548755,2664366,6749952,10067361,6453682,1758534,1146370,21492001,1468613
010-20257,145474016,9360191,16692225,10399222,31744827,12580304,52346245,2704024,6119009,9376187,14829799,6835690,3519445,1692285,84787732,2406831
