,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
1,0.83491366321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2,1.0,0.781329891468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,0.95390232737,0.77722998226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.0,0.78393322213,0.618416502494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5,1.0,1.0,1.0,1.0,0.945615779719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6,1.0,1.0,1.0,1.0,1.0,0.749914013337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,1.0,1.0,1.0,1.0,1.0,1.0,0.834566114291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857489395497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.835426439329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.754850498448,1.0,1.0,1.0,1.0,1.0,1.0,
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89106965511,1.0,1.0,1.0,1.0,1.0,
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997877381229,1.0,1.0,1.0,1.0,
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.784032314945,1.0,1.0,1.0,
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.762826462545,1.0,1.0,
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.820863303436,1.0,
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.892744050016,
