	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqd	pbQC61	pbQC62	pbQC63	pbQC64	pbQC65	pbQC66	pbQC67	pbQC68	pbQC69	pbQC70	pbQC71	pbQC72	pbQC73	pbQC74	pbQC75	pbQC76	pbQC77	pbQC78	pbQC79	pbQC80
2465	981.995611116746	981.995423098106	981.996413440233	1109.58	1103.12	1115.44	5	5	NA	NA	NA	135844.28125	NA	133488.296875	128581.875	NA	NA	143129.125	NA	72251.5	NA	NA	NA	NA	NA	NA	NA	NA
2466	981.996168668266	981.995780397056	981.996419837052	1080.57	1072.29	1092.92	7	7	152161.796875	151120.171875	145799.5625	NA	138773.171875	NA	NA	130039.140625	NA	NA	113341.7109375	NA	NA	NA	123632.9921875	NA	NA	NA	NA	NA
2467	981.995601301458	981.995284943839	981.996064749875	1727.46	1718.48	1740.88	6	6	NA	NA	NA	NA	NA	139268.359375	NA	NA	NA	NA	NA	NA	NA	NA	135854.015625	131328.28125	134346.6875	NA	123989.859375	123196.5703125
2468	981.995880290108	981.995716225836	981.996343934102	741.3525	732.03	752.835	6	6	129661.859375	127616.1796875	127433.4609375	NA	112916.6953125	108936.4921875	NA	NA	NA	NA	NA	59208.44921875	NA	NA	NA	NA	NA	NA	NA	NA
2469	981.99594662386	981.995617200872	981.99609392261	767.9435	764.981	774.982	4	4	NA	NA	NA	114071.5078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101584.171875	102882.671875	NA	95761.03125	NA
2470	981.995974254032	981.995743774655	981.996142419893	549.587	547.851	557.765	4	4	124472.5	122431.6875	NA	NA	NA	NA	NA	98962.5234375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77464.1328125
2471	981.99586933886	981.995517394184	981.996016733375	347.5555	342.391	357.153	4	4	NA	NA	NA	85534.0703125	NA	NA	77685.328125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70356.1171875	NA	70455.6953125
2472	981.99610661093	981.995404842807	981.996146578475	607.0035	602.869	617.219	4	4	123721.234375	NA	121847.203125	NA	NA	NA	NA	NA	NA	NA	NA	57474.08984375	NA	NA	NA	NA	NA	NA	88285.0859375	NA
2473	981.995983913889	981.995827767006	981.996094089291	467.551	451.076	477.729	5	4	NA	118469.7578125	122386.375	NA	NA	96385.3359375	NA	NA	NA	NA	NA	51400.515625	NA	NA	NA	NA	NA	NA	NA	NA
2474	1005.01200905195	1005.01154188583	1005.0121526645	17.799	15.83	18.176	7	7	NA	NA	7376.921875	NA	NA	6790.16650390625	NA	NA	NA	7343.7021484375	6570.17431640625	NA	NA	NA	6910.4931640625	NA	NA	NA	5557.23095703125	5868.60791015625
