""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqd"	"pbQC61"	"pbQC62"	"pbQC63"	"pbQC64"	"pbQC65"	"pbQC66"	"pbQC67"	"pbQC68"	"pbQC69"	"pbQC70"	"pbQC71"	"pbQC72"	"pbQC73"	"pbQC74"	"pbQC75"	"pbQC76"	"pbQC77"	"pbQC78"	"pbQC79"	"pbQC80"	"isotopes"	"adduct"	"pcgroup"
"178"	128.03535900716	128.035179198114	128.035711970657	1315.215	1310.18	1318	20	20	71490.4921875	73206.1015625	75836.9921875	101646.765625	95998.59375	85790.078125	78086.5625	69495.7578125	79286.2578125	70098.0390625	71494.828125	65251.79296875	68401.984375	70166.7265625	69093.6328125	74293.84375	75906.1875	78041.09375	79198.796875	80272.5078125	""	"[M-H-H20]- 147.054"	"24"
"179"	129.019545796463	129.019378138422	129.019936468865	1406.33	1402.45	1409.95	20	20	155411.5	162602.40625	175334.59375	185198.5	192161.234375	187871.578125	189662.75	210015.765625	238811.078125	230642.34375	302837.875	277963.84375	288535	252776.859375	281613.21875	267981.15625	264002.78125	252303.46875	261193.140625	274913.65625	"[2][M]-"	"[M-H]- 130.025"	"38"
"180"	129.019600442003	129.019492077917	129.020124018544	1219.98	1217.92	1222.03	20	20	118238.671875	112604.40625	111571.171875	145006.328125	117385.3984375	108834.0390625	123888.4453125	105087.71875	119699.1015625	127987.765625	112819.8828125	142066.609375	129817.7578125	143199.515625	135878.734375	132496.375	148526.34375	165948.625	156483.078125	193841.234375	""	"[M-H]- 130.027"	"25"
"181"	129.019590753389	129.0194904664	129.019889433562	1043.665	1035.78	1047.76	20	20	536714.9375	611185.625	689633.1875	989667.25	840982.125	909369	835455.625	862089.125	932924.4375	884112.125	858067.9375	959317.6875	946342.625	920781.8125	870273.875	909879.5625	957017.625	871703.4375	923757.1875	886253.1875	"[3][M]-"	""	"26"
"182"	129.01940481096	129.019318098546	129.019546250359	1133.805	1127.72	1137.97	12	12	71283.78125	63222.03515625	58650.94140625	70260.3515625	62355.83984375	50783.890625	43172.18359375	92250.5703125	43480.5390625	40424.0546875	42623.40625	40476.5	40375.125	39430.87109375	40914.3984375	41263.64453125	43714.08203125	33248.95703125	37166.16796875	32401.685546875	""	""	"208"
"183"	129.019662482316	129.019212592683	129.019708284954	1289.3	1281.38	1294.92	13	13	156120.3125	148771.21875	121158.546875	118894.390625	99349.90625	69319.5703125	51794.59765625	43591.36328125	39985.12890625	29873.23828125	24460.28125	19604.068359375	19068.8671875	17604.673828125	17008.078125	17022.22265625	19375.8046875	14775.0927734375	14324.4365234375	13519.791015625	""	""	"22"
"184"	129.019284366746	129.019208338385	129.019396321586	485.052	473.707	504.449	14	14	56457.4296875	61859.859375	59187.484375	70218.0859375	62332.42578125	62443.11328125	58687.33984375	49441.17578125	52567.08203125	43698.5703125	35683.578125	33383.234375	28925.23828125	23654.458984375	19265.408203125	17302.537109375	12217.8388671875	10339.1591796875	8902.5009765625	6751.66650390625	""	""	"114"
"185"	129.019326720128	129.019243064437	129.019497976525	857.092	850.943	872.865	15	15	39582.59375	41575.2890625	36903.625	37055.125	30681.986328125	30217.89453125	31853.220703125	24258.50390625	28820.060546875	27399.1015625	23323.771484375	25523.56640625	22696.890625	22358.06640625	19964.072265625	25672.72265625	27090.51953125	26657.076171875	25628.890625	26827.6796875	""	""	"128"
"186"	129.01944195701	129.019363743676	129.019567301477	926.863	920.651	937.279	12	12	77624.8203125	70050.9765625	57265.83984375	49653.2265625	47649.546875	38642.6640625	33133.12890625	29108.314453125	26042.47265625	23873.5625	22716.068359375	17339.861328125	15775.7548828125	12829.74609375	10904.6396484375	9942.783203125	8296.90234375	6606.62451171875	6149.61865234375	4647.6923828125	""	""	"36"
"187"	130.022867918574	130.022808619789	130.023170491943	1043.665	1035.78	1047.76	20	20	32739.380859375	33996.84375	36731.3203125	58239.64453125	45030.42578125	48330.5390625	46769.51953125	49829.234375	54872.4140625	49746.37890625	52851.8984375	55331.2109375	58401.80078125	56112.80859375	50513.1796875	53381.34765625	50274.8515625	47641.45703125	55797.7734375	46288.2578125	"[3][M+1]-"	""	"26"
"188"	130.022898855724	130.02279893946	130.023305668203	1406.44	1403.62	1409.95	13	13	9937.576171875	10186.3818359375	9943.03125	12046.56640625	13450.1162109375	11059.2783203125	13640.7626953125	13286.033203125	17396.412109375	13106.3798828125	17252.517578125	18133.568359375	17646.6796875	16505.6953125	17620.810546875	17398.09375	15938.4228515625	18107.146484375	17376.958984375	16855.19140625	"[2][M+1]-"	""	"38"
"189"	130.087564774301	130.087475953641	130.087664393186	982.164	971.905	991.59	20	20	1285666	1071044.625	993014.1875	1254463.625	962888.1875	845613.3125	781507.4375	670302.3125	699336.8125	634675.9375	609857.625	672538.375	650320.0625	661175.875	642817.9375	625719	664640.0625	691682.5625	668319.625	692773.1875	"[4][M]-"	""	"39"
"190"	130.087485999314	130.087392006976	130.087770823802	1022.48	1012.91	1029.91	20	20	433835.75	363246.34375	329406.34375	376068.5625	323065.46875	269750.46875	250675.34375	251984.640625	249236.609375	229714.953125	221430.296875	226643.796875	223531.203125	229049.828125	232991.84375	239579.453125	231838.59375	228442.3125	232424.859375	238732.53125	"[5][M]-"	"[M-H]- 131.095"	"15"
"191"	131.090725073	131.090501877031	131.090976772328	982.164	973.955	991.59	20	20	83853.34375	65957.1875	64242.90234375	79844.515625	56911.78125	57740.109375	53368.62109375	46325.4609375	48402.7265625	46003.4609375	45268.70703125	44429.1796875	43908.234375	43101.47265625	44895.76171875	47830.62890625	48172.43359375	52523.109375	44918.17578125	45192.59375	"[4][M+1]-"	""	"39"
"192"	131.090624596801	131.090323970515	131.090890310689	1023.16	1012.91	1029.91	20	20	29361.265625	25298.8828125	26077.51953125	27552.1953125	22726.294921875	21612.578125	19851.353515625	17770.455078125	19593.7734375	18153.501953125	16713.404296875	15854.337890625	16019.474609375	15801.2109375	18469.900390625	15345.955078125	16642.009765625	17849.630859375	16665.279296875	15754.5615234375	"[5][M+1]-"	""	"15"
