	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc_test_data	pbQC001	pbQC002	pbQC003	pbQC004	pbQC005
541	198.905148419079	198.905093141043	198.905166161447	146.817	141.816	147.897	4	4	120743.7734375	106938.234375	100370.984375	101321.1015625	NA
987	338.815606523739	338.815511922114	338.815645267245	147.836	145.916	156.098	3	3	30744.42578125	23446.4765625	29854.564453125	NA	NA
1288	498.952856871349	498.952693137965	498.953292059917	147.836	141.816	160.198	5	5	5458.4248046875	7751.2734375	7686.783203125	6672.00439453125	9528.0126953125
895	298.861384418686	298.861283493615	298.8613895916	147.897	141.816	156.036	3	3	52040.04296875	48059.67578125	42040.9765625	NA	NA
315	138.941494833084	138.941483188449	138.941506477719	148.8975	147.897	149.898	2	2	NA	NA	7707.333984375	6480.845703125	NA
367	156.913863860668	156.913814964621	156.913898857767	148.932	145.847	160.137	4	4	15289.0458984375	13894.3583984375	14275.5947265625	15186.630859375	NA
1317	538.728242503994	538.728060809057	538.728424198931	148.932	143.866	153.998	2	2	17302.681640625	NA	NA	14418.1943359375	NA
350	154.915479760462	154.915414893458	154.915486319425	149.886	141.816	162.342	5	5	99238.1953125	89805.6640625	94785.0859375	83929.5078125	17033.33984375
903	300.859934792337	300.859929781996	300.860108386723	149.886	143.866	149.947	3	3	11941.7744140625	10286.5849609375	12436.6943359375	NA	NA
1030	340.814454714757	340.814088249533	340.81482117998	150.9825	149.898	152.067	2	2	6108.7373046875	NA	NA	3195.23193359375	NA
1178	430.739203703271	430.73914912004	430.739292695905	150.9825	145.786	151.997	4	4	26062.923828125	16190.623046875	20333.9609375	22408.052734375	NA
1077	374.773004591319	374.772754386714	374.773087380349	151.9665	145.916	164.249	4	4	62572.0546875	41246.48046875	47995.3984375	51457.015625	NA
1214	438.771962712802	438.771958423166	438.772146965712	152.067	151.948	153.986	3	3	31542.78125	23287.177734375	NA	24104.677734375	NA
616	236.861086039434	236.861046305806	236.861186958473	152.9915	143.866	156.049	4	4	197050.484375	160033	177405.234375	175738.390625	NA
1433	636.685167037953	636.684879809927	636.685450427917	152.9915	147.967	156.049	4	4	25273.38671875	12577.2998046875	14614.7412109375	17046.232421875	NA
1149	398.817359757202	398.817299148218	398.817413242866	153.027	147.848	162.248	4	4	24551.546875	20921.673828125	22410.291015625	20877.57421875	NA
1153	400.81607367852	400.815554297592	400.816168519301	153.986	143.866	156.049	3	3	8274.32421875	6065.404296875	NA	6979.28271484375	NA
1256	474.729144280086	474.728996780805	474.72921770617	153.986	147.967	156.049	3	3	43829.01953125	31416.302734375	NA	35378.390625	NA
1426	614.639216789131	614.639144253466	614.639488772061	153.986	143.866	153.998	3	3	15691.091796875	10638.3134765625	NA	12921.3173828125	NA
629	237.86433606302	237.864249589935	237.864482770072	153.9925	145.916	166.348	4	4	5308	4031.24755859375	5417.24951171875	5274.72412109375	NA
1302	514.68318511203	514.682931753562	514.683535925054	153.9925	147.967	156.098	4	4	20251.689453125	13394.318359375	15881.7177734375	15317.2548828125	NA
1442	638.683995510937	638.683865593943	638.684194862554	154.117	153.986	158.148	3	3	14542.9775390625	7488.3603515625	10118.02734375	NA	NA
1419	612.641086391052	612.64080744869	612.641166359927	155.0175	147.967	160.198	4	4	30702.0390625	16391.365234375	23296.1875	22726.49609375	NA
1296	512.684896301787	512.684773382525	512.684992056309	155.0415	153.998	164.368	4	4	43159.86328125	25129.064453125	28547.359375	28164.705078125	NA
1060	358.799000675636	358.798753127265	358.799075297593	155.083	147.836	170.449	4	4	3982.93579101562	10807.42578125	8075.3369140625	6441.68408203125	NA
375	160.949272462616	160.949144386016	160.949412117629	156.049	149.886	156.192	5	5	202387.96875	111647.7578125	125322.9140625	124465.734375	16677.90234375
782	260.905570530364	260.905360425055	260.905680865911	156.098	141.816	158.087	3	3	10315.0361328125	9224.8369140625	9853.6982421875	NA	NA
1201	436.773302947376	436.773223760121	436.773375809943	156.098	147.967	160.137	3	3	74144.28125	54860.91796875	56583.71875	NA	NA
557	200.903741985083	200.903669508659	200.903814461507	157.098	154.047	160.149	2	2	NA	NA	16875.486328125	17654.681640625	NA
1385	574.685262633889	574.685098751286	574.68528714159	157.0985	145.916	162.187	4	4	27029.671875	16807.884765625	22541.5546875	22543.787109375	NA
1466	713.597758118851	713.597621784063	713.59789445364	157.1265	156.036	158.217	2	2	7723.6025390625	2103.51513671875	NA	NA	NA
1261	476.727680617596	476.727613339533	476.72785312753	157.1575	149.886	160.149	4	4	23517.98046875	12458.90234375	14733.0048828125	16578.5	NA
1387	576.683817323292	576.683741970712	576.683892675872	158.093	158.087	158.099	2	2	NA	9208.0849609375	NA	12555.38671875	NA
1310	536.729304080483	536.729217992617	536.729411529346	158.1585	151.936	162.248	4	4	44033.69921875	23736.486328125	30759.728515625	32503.869140625	NA
1187	432.737737741309	432.737666112732	432.737809369886	159.1175	156.036	162.199	2	2	NA	8284.361328125	NA	10432.693359375	NA
1445	643.642505391899	643.641605261601	643.643405522197	159.1485	156.098	162.199	2	2	NA	NA	3287.03271484375	2455.728515625	NA
1452	674.641729437107	674.64094528519	674.641798888976	160.149	153.986	162.248	3	3	NA	14695.27734375	20547.298828125	19197.17578125	NA
1463	712.597490746437	712.597444712629	712.597536780245	161.258	160.268	162.248	2	2	27800.56640625	NA	16370.3359375	NA	NA
877	294.825784679574	294.825559067829	294.825967258649	164.2735	152.067	170.388	4	4	16464.455078125	15326.48046875	14564.73046875	13514.4013671875	NA
961	337.820326433335	337.820185360166	337.820467506505	166.324	164.298	168.35	2	2	NA	NA	5071.0849609375	4864.158203125	NA
104	74.9682014897143	74.9681818947281	74.9682210847006	168.368	164.298	172.438	2	2	NA	12482.7919921875	11704.0087890625	NA	NA
1249	471.941896623761	471.941689190855	471.942104056668	168.4805	166.418	170.543	2	2	5796	NA	NA	NA	8441.3427734375
1405	605.8508863362	605.850492161123	605.851280511277	173.5285	172.438	174.619	2	2	3484.85009765625	3428.53295898438	NA	NA	NA
1272	482.781873117523	482.781860128102	482.781886106943	182.7545	182.689	182.82	2	2	3016.07348632812	3391.68774414062	NA	NA	NA
1278	484.781365782475	484.780705042726	484.781612882552	193.005	180.651	201.202	4	4	2537.96020507812	2706.7578125	3043.779296875	3249.2724609375	NA
812	276.853445912729	276.85335586985	276.853535955607	194.0305	193.071	194.99	2	2	3185.96362304688	8219.904296875	NA	NA	NA
779	260.905422470866	260.905362171698	260.905602580658	194.061	190.902	199.09	4	4	9949.2529296875	9491.576171875	9846.236328125	9717.646484375	NA
919	320.843250717248	320.843036834319	320.843417150448	194.99	192.952	197.101	3	3	NA	8577.341796875	6206.84521484375	6701.1259765625	NA
1150	400.816023068385	400.815848769173	400.816244035344	194.996	193.071	197.101	4	4	9196.6669921875	7199.337890625	7430.5205078125	7771.7470703125	NA
407	166.054306636085	166.054153543185	166.054381401929	195.0205	178.719	195.145	4	4	7382.5791015625	15911.220703125	13597.4853515625	NA	43283.51953125
630	238.8595505108	238.859523630984	238.859590589412	195.0265	194.99	197.171	4	4	49951.5234375	39990.625	43318.18359375	45566.078125	NA
1700	928.420361633195	928.419931181295	928.420792085095	195.0265	193.001	197.052	2	2	NA	NA	2979.07983398438	2529.35961914062	NA
1197	436.773472768024	436.773341965342	436.77624616587	195.051	193.095	197.04	5	5	89377.6640625	58745.66796875	67330.0234375	69291.2890625	2304.130859375
983	338.815691071621	338.815556165737	338.815839147389	195.0615	194.99	197.101	4	4	40288.02734375	26485.81640625	33031.08203125	33322.25390625	NA
251	118.958195240311	118.958172569571	118.95841262479	195.086	192.94	197.052	4	4	19163.76171875	12606.5537109375	13544.658203125	13506.1552734375	NA
613	236.861190997273	236.860968635772	236.861210599081	195.121	195.002	197.04	5	5	226585.140625	183686.40625	197176.140625	198326	19988.087890625
1330	560.874661716894	560.874374200398	560.874792032287	195.121	193.095	197.052	5	5	41901.765625	55154.07421875	45560.65234375	46102.0390625	51508.5234375
232	116.959690206003	116.959601548064	116.959745874779	195.145	195.002	197.101	5	5	210185.609375	161329.015625	166247.28125	164936.703125	57202.5625
348	154.915482880749	154.915425859116	154.915522897024	195.145	195.002	197.171	5	5	110077.25	94511.6171875	101897.4921875	101066.625	21518.1875
374	160.949419061964	160.949204218814	160.949434186264	195.145	194.99	197.171	5	5	216150.140625	120388.859375	143062.6875	128041.375	21650.03515625
551	199.908511437341	199.908439165635	199.908583709047	196.021	192.94	199.102	2	2	NA	4049.041015625	NA	4119.00537109375	NA
1145	398.817368741513	398.817353856585	398.817535194949	196.021	193.071	197.101	4	4	28748.158203125	22596.78515625	22865.89453125	25744.85546875	NA
1414	606.849591392228	606.849558250846	606.84962453361	196.021	195.002	197.04	2	2	NA	45108.140625	NA	49335.4140625	NA
1432	636.68511091624	636.684877312429	636.68550457459	196.021	193.001	199.221	4	4	30662.794921875	14713.013671875	20166.576171875	19463.904296875	NA
874	294.8258279778	294.825707651313	294.825924971457	196.0455	192.952	199.221	4	4	18191.404296875	15509.83203125	16855.013671875	16309.0712890625	NA
943	336.817278399693	336.817210011307	336.817334936632	196.0455	195.002	197.171	4	4	130255.546875	92504.046875	103158.25	100766.2265625	NA
1074	374.773059041922	374.77296406431	374.773124458919	196.0455	195.002	197.171	4	4	80032.1953125	50984.9140625	60255.67578125	58337.91796875	NA
1212	438.7720636303	438.771919475845	438.772112955902	196.0455	195.002	199.221	4	4	36899.0078125	23287.177734375	27806.521484375	27875.13671875	NA
1254	474.729109658234	474.729015789422	474.729225932871	196.0455	195.002	197.171	4	4	60033	33146.4921875	42023.2109375	41462.21484375	NA
1259	476.72769215435	476.727607554792	476.727922822693	196.0455	195.002	197.171	4	4	26841.1015625	16490.107421875	19236.75390625	18874.14453125	NA
1294	512.685026426709	512.684861573533	512.685088990014	196.0455	195.002	197.171	4	4	51659.00390625	25076.259765625	34815.609375	35229.3046875	NA
1300	514.683331022661	514.683246809236	514.683443466981	196.0455	195.002	199.221	4	4	26166.779296875	14076.703125	19096.947265625	18423.587890625	NA
1314	538.728195452079	538.72808493021	538.728299520045	196.0455	195.002	197.171	4	4	22899.759765625	13490.2890625	16172.1044921875	18081.94140625	NA
1423	614.639585399957	614.639422188573	614.639786215176	196.0455	195.002	197.171	4	4	24625.62109375	11759.07421875	15355.5810546875	13795.3935546875	NA
852	292.827408862616	292.827358279938	292.82743010283	196.0515	194.99	197.171	4	4	61013.03515625	43867.5625	51872.50390625	52856.46875	NA
1176	430.73933244365	430.739155670398	430.739437621509	196.0515	194.99	197.171	4	4	31236.859375	19622.517578125	24002.74609375	24105.9609375	NA
1309	536.729375698956	536.729027789218	536.729484639614	196.0515	194.99	197.171	4	4	46855.58984375	28779.015625	33346.28515625	33681.55859375	NA
1092	376.771415982217	376.771373761319	376.77143523017	196.0805	195.002	197.101	4	4	28710.447265625	19119.998046875	22618.748046875	22685.416015625	NA
1449	674.641451113115	674.641127151989	674.641641854085	196.0805	195.002	197.101	4	4	36490.1953125	15688.79296875	21865.5703125	21705.171875	NA
1563	788.509629446474	788.509125947524	788.510132945425	196.0805	195.121	197.04	2	2	9337.109375	3903.77856445312	NA	NA	NA
