""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqc_test_data"	"pbQC001"	"pbQC002"	"pbQC003"	"pbQC004"	"pbQC005"	"isotopes"	"adduct"	"pcgroup"
"1"	60.9931778962218	60.9930529438453	60.993205323237	197.03	195.122	197.171	5	5	257680.984375	170991.8125	187725.15625	201245.609375	55204.1953125	""	""	"68"
"2"	60.9931484351246	60.9931000059894	60.9932190098529	244.326	242.275	252.525	5	5	219266.6875	129391.6640625	151122.5	157936.609375	43828.703125	""	""	"61"
"3"	60.993216158091	60.9931462802416	60.9934318849271	1074.65	1072.6	1082.53	5	5	181126.515625	176852.21875	168066.96875	145165.203125	76356.53125	""	""	"23"
"4"	60.9929808194313	60.9929502427082	60.993261930697	1527.405	1526.69	1527.74	4	4	11187.09375	12087.1064453125	18268.453125	17135.181640625	19028.884765625	""	"[M+Cl]- 26.0223 [M-H-CO]- 89.9954"	"76"
"5"	60.9931051845391	60.9930438760881	60.9931367385487	145.917	141.816	158.222	5	5	253906.109375	164833.875	177668.703125	183625.125	48320.953125	""	""	"69"
"6"	60.9930753574984	60.9930137257983	60.9931368837248	962.917	960.03	965.834	4	4	115295.3046875	85776.2109375	98124.046875	88175.90625	20383.470703125	""	""	"102"
"7"	60.9930981557006	60.9930797446424	60.9931777519602	307.881	305.09	324.284	5	5	195136.796875	128374.671875	143528.078125	142362.578125	65406.25390625	""	""	"84"
"8"	60.9931336277387	60.9930630127813	60.9932331574712	1022.375	1021.23	1028.67	4	4	108895.8828125	113282.8671875	120160.1484375	97972.9296875	37218.38671875	""	""	"105"
"9"	60.9932036691676	60.993136244009	60.9932551935002	1318.55	1309.68	1320.49	4	4	7474.15869140625	11633.7958984375	9701.91015625	9052.1962890625	106328.59375	""	""	"290"
"10"	60.9930398218808	60.9929509037876	60.9932839749081	1621.39	1620	1632.51	4	4	32042.765625	25081.908203125	25708.462890625	18413.43359375	13192.0830078125	""	""	"98"
