Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Leucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
020-04189,103250017,16253956,24586684,12447422,42667315,24157427,77632857,5440150,7982985,16571661,32984662,9233209,14784418,2408908,92339171,5498935
020-04190,177834540,29027783,26953567,16058537,52528299,21224662,92252076,3219797,8130620,16632726,61546433,265757,3547116,4595098,84119936,8008391
020-04258,133555834,18134168,20266994,10479668,37703277,18979795,90253835,2023844,6658556,10355797,20736692,2643530,1760991,2009085,38411258,1583073
020-04273,82569983,10105694,15965056,5449090,27568192,17632457,76350286,5477143,5915800,5030560,7490288,1603717,6591920,4900907,26984146,9977659
020-04286,72358397,18410121,15624709,8413886,28885581,14564407,85692956,4264113,5957554,9384877,24034879,3334763,9079666,4012574,63712975,5853729
020-04323,154345923,14938767,22981292,11958399,42715915,22572151,79452717,4916327,8995701,10779340,13236809,5494114,6947178,3871336,53298708,5434390
020-06017-02,140601680,21602855,17828864,8711594,27908555,16570675,71392846,7195382,5775080,10408891,21748562,3029766,6352590,2144093,66186087,4399013
020-08017-02,121158490,23237165,27562066,12272775,49741946,28431450,92636732,5882556,9287081,18916250,53618982,4465605,7463616,3949973,98343783,4472521
020-08032-02,172866163,19958491,27377539,13803970,46728203,26863794,97894613,4974634,9114807,18308388,31417442,6338394,12427304,3299882,71507737,6191319
020-08039,52641650,15201339,12615407,7378700,24420570,12306113,66084086,3367617,5159692,9692178,24459791,1873153,4455084,2877785,57569425,3843623
020-08045,143446049,21259014,28689351,12197532,57603855,31818429,90699123,4478213,10687756,8749386,28070085,2373672,4854532,3820408,49545565,3621821
020-18005,162920290,15808093,24946190,11659951,44657553,25875301,73620927,5374351,8000819,13724344,25910605,6207947,10815653,3405830,84258076,4739057
020-50021,105846398,23462939,13114105,7253861,22451070,11963041,77635758,883332,4783655,8496607,36721620,1072505,1403617,1979651,68436143,1617019
020-50029,31978860,15795070,10689906,5016433,17757058,12812752,77358149,4537928,4114353,6429850,12003882,3588299,4771755,2146055,46184469,3337117
020-50039,169098823,22669677,29557504,16622198,52406306,28833256,90305703,10533463,12474727,16899950,39776264,10714005,10359784,2560774,82100123,7353477
020-50056,69691639,11743273,23656018,13163057,45167719,18350314,67827346,3637596,7163258,11264115,28196224,7489664,8806029,2795006,71514245,2812405
020-50075,141564390,19995427,20777320,10457342,43209631,21235344,92581688,4609477,8830039,10040217,25983266,2687838,7539807,2857472,60961955,7251878
020-50084,127162639,16254807,25211265,12414091,45976766,25855516,89309270,4417254,8426501,14101433,30999657,4537053,10036283,2286621,52712720,3903705
020-50135,139795630,18189730,30574778,16778880,65739478,14032187,74685128,4670516,7608312,11092773,14131152,7413956,10390616,2851607,98822153,4248413
020-50145,37160188,9542758,11464457,4352546,20887222,9916317,80029204,5631798,3826108,5097276,5946815,5674125,7042343,3388090,27583073,6211532
020-50163,192077017,20991847,25603337,13103668,47355698,23973539,75509521,2812226,9032476,12067941,28681984,3781335,4600205,3414058,60841505,2517387
020-50166,138982461,16424051,29128029,16040032,58452142,27128485,86447991,11697044,10511951,10986838,20748919,3848836,14961973,3838900,63238330,18085831
020-52019,222305158,25241229,38850072,17236548,82127387,32839434,74881291,11013759,12430242,15439016,46918935,11868641,14718947,4388778,74689384,14706150
020-52021,240278114,27389958,32204980,14417533,62048938,27173530,88355414,2979929,9637897,15682127,54156737,3597678,5161801,3288477,93282134,3482732
