Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-20511,75261197,17030220,15183443,7901777,28912294,15348636,57731897,6666536,6199486,8383418,22804506,3811818,6382953,2542530,54182922,3478492
010-20542,62097149,13821512,9773971,5030328,14935032,9167505,63644826,1097243,3222944,6236371,18282157,2655907,527170,1432257,54691429,903301
010-20545,107789678,14753802,12379658,7337682,19830118,11195967,57894879,987738,4258804,6909673,16245259,2133808,1795055,2076341,64396522,1217452
010-20576,109606141,14574209,13974907,7974256,24344252,12523933,66032817,8560878,5284885,6099108,11677472,12154800,8764082,2423973,57135855,7151498
010-20642,141030236,21947473,19775181,10384803,35512485,19174602,70915974,2098627,7351437,12452611,30061003,2106647,1653733,1753074,97461886,1257737
010-20658,60859687,11330163,15555747,6576354,27500433,14135447,60096062,8463084,6589365,7986670,7833244,13057704,8161331,2394653,27911296,10593069
010-20691,152829981,25570312,18726045,10208187,33004954,15872842,88389585,6710358,7820938,8656617,23838698,3202174,5292616,1781938,67641593,3916485
010-20694,81738471,8907119,12226722,7510702,21265750,6578475,67061783,3343334,3886359,8530428,8927070,6718161,1060162,1978236,68258900,1639833
010-20753,96936652,15517008,17775888,9160541,30208418,10485085,87377669,5835286,7035648,8498946,13607966,3282340,6437454,2355326,55520351,4353214
010-20818,216273488,16010746,19027738,11055593,33605255,15066098,73587556,3905082,7853570,8413890,19116194,9065162,2678282,2084977,51286823,3246153
010-20819,207124592,23006665,22774037,12711038,41882303,15233978,81927369,1211521,7730144,12330512,22153953,1598635,1834555,2367766,71125686,1568122
010-20836,70229657,10895262,11279209,6422258,18699929,12009564,55831574,3460437,5621605,7403067,21476319,7835490,4595837,2219346,51286538,3976299
010-20866,120707019,14164796,14075227,8659014,24545482,11070780,67678705,2967138,5192154,5986647,15302574,6666663,2288030,1790033,53866363,2764030
010-20882,137087101,19079555,26369530,15024979,50637813,14056663,63071896,3877651,9074172,11323883,23776637,7822226,9012965,4137062,92342519,4981303
010-20899,152726206,22983279,25558956,13025455,47325510,25396181,66348267,9239547,9369060,17819878,27576689,8774528,19932431,2815749,81017607,8560895
010-20948,158605106,18157088,15964973,9525858,26547199,15861631,66785876,2307512,7397599,10307235,15543291,3621867,3331285,2787523,114301139,2062341
010-20960,110797587,9511895,11626317,7119341,22471091,1597713,67382,17668,3920814,6716779,61716,5363365,811531,1859402,155213,1365349
010-20971,92339532,22799902,14656958,7494890,23312471,10370862,67645118,3427853,5556060,10455318,21803118,1380703,2160983,2204315,62258105,1784610
010-20975,174232338,15702507,21372576,12090996,41178399,19562005,101120350,7064332,8025311,9852555,26703466,6037556,8052229,2945882,103917849,6606248
010-20986,149283736,19856058,24047952,11460679,46245142,25427934,77139625,4507313,8566272,13251702,15980368,1671948,7407441,4098283,50027882,2346415
010-21015,229886857,25055839,30658807,15915420,55368425,17985178,75174993,7613394,9886526,16349703,44347684,11573929,13414729,3470209,89323234,7989963
010-21029,111560769,26111232,22343493,10827170,42218372,22382484,72665140,2423474,8022758,12086803,30322484,1700610,2825886,2890150,89245613,2601386
010-21039,198179606,19663533,32230312,16804944,60546756,18732617,66284071,6911999,10702237,14153745,27819163,10058855,13134857,3388273,54740037,7585278
010-21041,121230793,13947731,15182192,9341979,26457296,9581942,49963429,978087,4745676,10270080,24252594,5579069,858333,2830992,97575471,1214273
010-21050,213746257,18531467,21137059,9736533,37870130,15925008,68752263,3858293,7651787,18462144,21610887,7358606,7120987,3119907,49907563,4865260
010-21104,104015064,14572366,16346546,10574412,30897346,11858387,69698979,3969769,5508408,8136289,18280148,9838375,3768169,2616444,79595319,3879406
010-21164,120360514,15522799,17757611,9444730,31222617,11847923,57501519,3339679,6632572,8885677,18229056,4072154,2957913,1818688,75082540,2686741
010-21224,220148751,27448740,28113119,12230460,53061316,28228780,97655792,7380571,10812698,15148823,25448308,4609839,16354469,7860297,60441200,9968055
010-21231,70446024,13346072,11523091,7121111,20280288,12360881,61148092,8067265,5588510,7844365,8577136,3130607,7227973,1767769,84595377,4914226
010-21235,103142472,11837542,14746285,8968206,26174568,7890517,68329063,4724442,4236560,8297808,14312068,16702374,1811001,2111695,54789318,3181828
010-21279,116756016,11894225,15096405,9143957,27433217,4896062,58469932,10338347,4856408,7942602,10362587,20155928,4051135,2641405,103782648,8725465
010-21308,114730500,16433016,17419358,9114526,28608133,15422058,60921298,10197847,8389651,7535353,9827842,13213886,6482328,1641851,81879377,12564050
010-21320,88385423,12129138,12307945,7352898,20553938,6862159,57060779,3282744,4692452,7388535,13634129,4431407,2729695,2030549,64034869,1813138
010-21332,128175196,16152869,18986910,10795132,38490944,24419328,70132536,3210361,7652939,13255607,30839367,8430217,9783736,2972290,104871413,4769958
010-21343,169878869,19785733,22803238,10605154,38799292,19306685,66125386,3318197,9689455,13418279,20860826,3307475,3079765,2709654,98585416,1812832
010-21348,165047246,18219691,22778302,13092527,42965588,19688137,68655881,6362543,9306908,8954018,17980614,15821466,6043782,2776644,87879788,7531374
010-21349,104842323,13333174,15507238,7664319,29376075,14368540,64161932,1686579,6291923,8524822,12159605,3307690,4745314,2586410,52244526,2070749
010-21366,120864861,11967291,14462084,7653252,23968019,7006441,73108217,1179649,5677185,14791711,14469967,5116232,3241625,2784123,51094943,2214945
010-21371,84146948,12184227,9297347,4746010,14817310,9723469,60859854,3196596,4481262,5060854,9536762,2783907,3654333,1687190,38029999,2174640
010-21379,139579644,15334317,17453808,9729757,30932319,13167223,59974419,1319405,5149639,9187549,20593529,5981615,3060262,2010735,65216017,1711818
010-21399,77228659,12377686,12531834,8233821,22164411,8458063,52224036,7810935,4461723,6772166,11617461,12949582,1929297,2196681,66246609,3665353
010-21403,183475383,15482976,15743122,9170201,28683271,10687429,66654630,2199094,6162428,6029904,13670510,14670520,5247131,3079280,43027880,5035482
010-21411,100820189,15677833,15360447,8759174,27034118,15564132,67725129,7067985,7070515,6462960,12582932,5924845,4792262,2041143,70573700,4707376
010-21430,91239421,12292186,8619815,4741482,12876737,9556773,66274271,2897638,4252957,7102288,9900933,2278247,3603413,2204239,51181524,1472094
010-21459,276803150,21579744,25204409,15914078,49462246,17178776,55004991,1657004,9820202,12009217,14284940,9501155,3192075,2732275,118442841,4101612
010-21488,214126896,21110178,24684434,10112447,45885766,24517333,74350857,3764572,9426142,14167272,17134495,4680622,12204250,3228457,92652387,4960837
010-21494,248215338,20613479,23688334,15040953,41508430,17119571,72179402,1943283,8065724,14082884,22004177,5675400,1722713,2361794,88668776,2211115
010-21511,245776673,20781275,28985246,17352850,49677538,18962911,63446920,4059389,9320127,13416373,23728648,27488928,5389255,3554440,86643399,7021322
010-21548,230787404,29157391,24431067,13372760,40204073,19301707,83777634,4593756,7113190,16774344,28424079,1863826,10681423,4302639,58931232,4695468
010-21564,123844684,15776969,17076524,10419849,30352698,16405900,66599908,9937916,7189544,8666721,13084178,16465599,6894572,2303871,70087806,6941291
010-21569,142148009,14600636,15333092,8048308,27349244,14147640,71454088,8474811,5678503,8026017,14212650,6641094,9039679,2945790,64456339,8801725
010-21578,181425469,19967739,20770167,11973240,36876311,15892483,59846033,7017524,7572296,13040438,22502352,11160039,3378792,2534035,87275983,4330857
010-21619,67686520,11288163,10891522,5582380,17485423,8901478,53063674,574644,4118568,9874517,15242968,1740562,3440173,2524341,50107594,909857
