reading Peaks
calc score matrix
1355 1444
<type 'int'>
19.9993350921 2.8031315859e-05 25.6055982639
18.0297874759 3.49285269832e-05 25.0154928725
17.9962135078 4.07090876817e-05 26.1380310441
17.9961326728 4.1299536374e-05 26.2560399476
17.9962229503 4.12635444038e-05 26.2489318311
17.9960667734 4.10673733746e-05 26.2095414483
17.9962307538 4.07852277944e-05 26.1532763127
17.9964675019 3.55250034605e-05 25.101468194
13.9747655105 2.58857409421e-05 19.1519136989
9.97954282981 9.36048110767e-05 28.7005050452
9.97971349391 3.60992536344e-05 17.1995642208
9.97982216307 3.99152539286e-05 17.9628729488
9.97986882734 4.81781565598e-05 19.6155001393
9.97976206898 2.91660023996e-05 15.8129625489
9.97956109424 4.8303290322e-05 19.6402191586
8.00006531423 2.61721216368e-05 13.2344896416
7.96411035058 2.68516747054e-05 13.3344452917
7.96385593173 2.6406791708e-05 13.2452142733
7.96401205232 3.14258019666e-05 14.2491724456
6.96860678887 1.61101633916e-05 10.1906394672
6.96882956752 4.1753344544e-05 15.3194984763
5.98466340238 4.13168546653e-05 14.2480343354
5.98482686625 3.27386896012e-05 12.5325647865
5.98448101869 3.09960570836e-05 12.1836924354
5.98473394917 2.93299257887e-05 11.8507191069
5.98494465974 3.02548757003e-05 12.0359197998
4.02347458103 2.69019403038e-05 9.40386264179
4.02348362467 3.36095159421e-05 10.7453868131
2.07428377107 2.49259019146e-05 7.05946415398
2.03453036988 2.76571139669e-06 2.58767264922
1.03617853783 0.000185940374268 38.2242533914
1.03615413546 2.75274116675e-05 6.54163646896
0.0762976908815 2.57716403618e-05 5.23062576325
19.9994453417 1.75600698488e-05 23.5114593115
19.9994448685 0.000326005165934 85.2004780553
19.9991572203 0.00012043294798 44.0857468163
18.0297327785 0.000209059021465 59.8415370715
8.02381590151 1.71976012805e-05 11.4633361576
6.02555513047 0.00392365607499 790.756770129
5.98485205073 0.000109926632089 27.9701784685
4.02352384086 0.000134695066076 30.9625370561
4.02354602897 0.000108880209029 25.7995878347
2.03436160193 3.99281874704e-05 10.019999096
2.03426909765 0.000214994616442 45.0331923861
17.9960020343 0.000216013124654 61.198626965
17.9960152356 0.000195306430201 57.0573012757
17.9958388647 0.000216322094371 61.2602577389
17.9960320381 0.000196959842508 57.3880005397
17.9961860904 0.00018254204725 54.5045955405
19.9994656603 1.77781122779e-05 23.5550881158
19.9994651871 0.000422119747524 104.423414692
19.9991775388 0.000131493553606 46.2978882599
8.02379558296 1.74066815191e-05 11.5051318868
6.02553481192 0.0022544066164 456.906858092
4.02350352231 0.000148682593236 33.7600221696
4.02352571042 0.000117841628566 27.5918514236
17.9959572065 0.000190927834958 56.181524198
17.9959704078 0.000174569065607 52.9097835291
17.9957940369 0.000191169170898 56.2296282164
17.9959872103 0.000175888817985 53.1737508073
19.9992818875 8.22231833199e-05 36.4439185514
19.9989942392 0.00014438180505 48.8753552492
18.0298163371 0.000128403605918 43.7105375207
18.0298957595 9.5729342933e-05 37.1757643461
17.996242369 0.000268630196704 71.7222817097
17.9964963631 0.000136850613635 45.3666190901
9.97957169099 9.84374197793e-05 29.6670556468
9.97989333084 2.3832415341e-05 14.746376399
9.97985102425 0.000237466023807 57.4730557856
9.97979093015 7.43796081145e-05 24.8557125531
9.97958995541 0.00717223448724 1444.4264874
8.00068680108 7.48230283395e-05 22.965292469
8.00009417541 5.75816452172e-05 19.5164232188
7.96388479291 5.87299221208e-05 19.7098692171
7.9640409135 9.10826790994e-05 26.1805767334
6.96863565005 1.20606069318e-05 9.38075703641
5.98501503179 0.000163066180269 38.5982510856
5.98469226356 0.000297508574871 65.4864072378
5.98450987987 8.75640029583e-05 23.4973104715
5.98497352091 8.1896233058e-05 22.3642201325
4.0235034422 6.12366497914e-05 16.2708334005
4.02351248585 0.000112214199092 26.4663523043
2.07431263224 1.64039682224e-05 5.35510627673
2.03455923106 2.61497676525e-06 2.55755458411
2.03452458299 0.000101879602252 22.4104450334
2.03443207871 9.45342490679e-05 20.9412818923
1.03620739901 3.81387989601e-05 8.66396719103
0.0763265520584 1.67660637517e-05 3.42953930239
17.9959838228 0.000179478952829 53.8917743887
17.9959970241 0.000164948597088 50.9857164417
17.9958206533 0.000179692197233 53.9342600999
17.9960138267 0.000166126404348 51.2212946963
17.9961229239 0.000135501110445 45.0963450129
17.9961678789 0.00015575049095 49.146266069
17.9961119227 0.000136518109562 45.299733835
9.9799572463 0.000169565151378 43.8929875219
17.996000945 0.000156681593526 49.3323196502
17.9960141463 0.000145493031668 47.0946204799
17.9958377754 0.000156844081421 49.3646540597
17.9960309489 0.00014640861051 47.2777530509
17.9961400461 0.000122089687084 42.4140774629
17.9961850011 0.000138289400735 45.6540651482
9.97997436848 0.000196589119266 49.2977982218
19.999379341 1.78757481992e-05 23.5745289808
8.02388190225 1.75002695862e-05 11.5239358195
6.02562113121 0.00133190736002 272.407093134
4.0235898416 0.000155799408408 35.1834715231
19.9992924422 0.000124008769086 44.8010462595
19.9990047939 0.000353605997998 90.7202043934
18.0298057823 0.000271012321004 72.232269983
18.0298852048 0.000157528845493 49.5356543034
17.9964858083 0.000311607650328 80.318015874
9.97956113626 7.01419054589e-05 24.007942228
9.9798827761 2.17118809548e-05 14.3222589671
9.97978037542 0.000106992253903 31.378231156
9.97957940068 0.000235988161433 57.1772116872
8.00067624635 5.72641146726e-05 19.4534991809
7.96387423817 7.73453738327e-05 23.4329490047
7.96403035876 0.000145328522505 37.0297348598
6.96862509531 1.14925830124e-05 9.26714169779
5.98500447705 0.00049154413521 104.293831519
5.98468170882 0.00135717162888 277.419007485
4.02369845529 0.000513616927723 106.747084
4.02350193111 0.000207751021827 45.5737062964
2.03454867632 2.58725083153e-06 2.55199884263
2.03451402826 7.18722199524e-05 16.4089580187
2.03442152397 0.000154318542938 32.8981301115
1.03619684428 3.29836056714e-05 7.63291797857
19.0037373313 2.48660292602e-06 19.5010579165
19.9993259288 4.15732329908e-06 20.8307905886
18.9916950746 2.57312517599e-06 19.5063201098
18.991666362 2.56200125091e-06 19.5040666122
18.991715714 2.56783644108e-06 19.5052830022
18.9917128787 2.5702250874e-06 19.5057578962
18.9916554226 2.56719002151e-06 19.5050934269
18.9916272976 2.55972651472e-06 19.5035726005
18.991833773 2.5614786043e-06 19.5041294938
10.9754138118 2.546058609e-06 11.4846255336
10.9754176717 2.50794645086e-06 11.4770069618
10.9754516849 2.47894051418e-06 11.4712397878
8.99609768808 2.55596014448e-06 9.50728971698
7.96436948435 2.51014657626e-06 8.4663987996
2.03161024419 2.49857629976e-06 2.53132550415
2.03177441554 2.48707118656e-06 2.52918865286
18.0282823308 2.10374770524e-05 22.2357777412
18.0282818576 0.000157586317351 49.5455453278
18.0279942093 0.000901072135048 198.242421219
19.999183633 0.000507188927559 121.436969145
19.9991042106 0.000215990816847 63.1972675799
11.9508933607 2.09310334972e-05 16.1371000602
9.99497891246 2.05193532304e-05 14.0988495585
9.97168683098 5.21344881785e-05 20.3985844667
7.99671814142 0.000109190566577 29.8348314567
7.95601506168 0.00316267490148 640.490995358
5.99470903992 0.00437141151512 880.277012063
4.00555926095 2.57580021714e-06 4.52071930438
4.00552461288 6.39721637924e-05 16.7999573714
4.0054321086 0.000210000854277 46.005602964
18.0283464585 1.81982559374e-05 21.667997646
18.0283459853 0.000934251946291 204.878735244
18.028058337 0.000158571219792 49.7423022954
19.9991683383 0.000358901834131 91.7795351644
11.950829233 1.81185504428e-05 15.5745393216
9.99491478475 1.78092540265e-05 13.55676559
9.97162270326 3.75978515295e-05 17.4911930092
7.99665401371 0.000573988019883 122.79425799
7.95595093397 0.000140846744217 36.1252997775
5.99464491221 0.000139133442787 33.8213334696
4.00546048517 4.33878959966e-05 12.6830396845
4.00536798089 0.000376758764365 79.357120854
9.04019337338 8.97219912231e-05 26.984591618
2.0010875769 0.00241589340776 485.179769129
2.00110825778 0.00292527933847 587.056975951
2.00106306484 0.00915355699716 1832.7124625
9.04027042388 8.61655515369e-05 26.2733807313
2.0011646274 0.00114422750854 230.846666336
2.00114011534 0.00285079474812 572.16008974
16.9873553955 9.85284897072e-05 36.6930533369
16.9873421942 9.3983553605e-05 35.7840529152
16.987518565 9.85927202471e-05 36.7060626145
16.9873253916 9.43647498295e-05 35.8602753575
2.00095868902 0.00108027824001 218.056606691
2.00079471263 0.00107297544936 216.595884584
2.00100026592 0.000962640341963 194.529068659
2.00094999216 0.000992837973245 200.568544641
2.00102899538 0.00104322250127 210.645529249
9.97850154734 6.27322293219e-05 22.5249474117
9.97850107416 2.63579787134e-05 15.2500968168
9.97821342589 3.05780130756e-05 16.093816041
11.9493234272 2.76065602645e-05 17.4706354801
19.9993258559 6.17951419208e-05 32.35835424
18.0447596959 5.83395449756e-05 29.712668691
18.0214676144 8.05653309556e-05 34.1345338055
16.0464989248 2.45388247092e-05 20.9542638667
16.0057958451 3.13384962869e-05 22.2734951025
14.0444898233 3.14245963153e-05 20.3294090864
12.0553053963 6.26501695196e-05 24.5853393002
12.055212892 2.75062808175e-05 17.5564690555
8.03940833267 2.57765310887e-05 13.1947145504
7.00531612794 2.40711835296e-05 11.8195528339
7.00536127862 2.27477778376e-05 11.5549168461
7.00539766452 2.31517025684e-05 11.6357381782
7.00538251962 2.25295618808e-05 11.5112948958
7.00539406583 2.39747400491e-05 11.8003420756
7.00533732668 2.23028982133e-05 11.4659169693
5.98486556188 2.35359651898e-05 10.6920585998
4.00550748542 8.13974207447e-05 20.2849916343
2.02636927671 2.38851870705e-05 6.80340669082
2.02635254711 2.3837923596e-05 6.79393726632
1.98991815182 0.000157165643355 33.4230468227
1.99005385551 2.2735962047e-05 6.53724626492
1.99002069983 2.25895831016e-05 6.50793732014
1.99006516846 2.39649590809e-05 6.78305698464
1.99007735062 2.39514058609e-05 6.78035852279
1.99001260399 2.25395605695e-05 6.49792471789
1.99003580179 2.25562072843e-05 6.50127725864
9.97838119193 3.28549650423e-05 16.5493742004
9.97838071875 4.26563915951e-05 18.5096590378
9.97809307047 5.49233086532e-05 20.9627548011
11.9492824942 5.24409453297e-05 22.4374715601
11.9492030717 4.60251665233e-05 21.1542363764
19.9992055004 3.25960832709e-05 26.5184221546
19.9993079011 4.0443796605e-05 28.0880672221
18.0448800513 3.16084971542e-05 24.3665794821
18.0215879698 0.000479905458625 114.002679695
17.9849420822 4.49233039348e-05 26.9696028692
16.9895368188 1.39599603558e-05 19.7815288899
16.0466192802 3.80869426231e-05 23.6640078049
16.0059162005 5.74263626351e-05 27.4911887275
14.0446101787 5.77161397061e-05 25.58783812
14.0444136546 4.9522960603e-05 23.9490057752
12.0554603998 2.69446310734e-06 12.5943530212
12.0554257517 0.000682305972437 148.516620239
12.0553332474 4.57471140067e-05 21.2047560488
11.0571085677 6.69393664892e-05 24.4449818656
8.03952868808 4.11540432233e-05 16.2703373328
7.00519793993 3.73465575471e-05 14.4745094493
7.00543648336 3.69721044576e-05 14.3998573749
7.00548163404 3.39393691148e-05 13.793355457
7.00551801993 3.48464388968e-05 13.9748057993
7.00551442124 3.67450684422e-05 14.3545281097
5.9849859173 3.57243197228e-05 13.1298498619
5.98477142849 3.78582544363e-05 13.5564223158
4.00541370724 0.000165776344089 37.160682525
4.00562784083 0.000452359926395 94.4776131199
2.97387551416 6.91079421568e-05 16.7954639455
2.02648963213 3.65351226805e-05 9.33351416824
2.02647290253 3.64246551633e-05 9.31140393518
2.02642754447 0.000253007908237 52.6280091918
2.02615086941 3.65798466915e-05 9.34212020772
1.99003850723 0.000122951068472 26.5802522016
1.98982539677 4.07359836359e-05 10.137022124
1.99017421093 3.39130736176e-05 8.77278893444
1.99014105524 3.35884247801e-05 8.70782601127
1.99018552388 3.6722097554e-05 9.33460503469
1.99019770603 3.66902839158e-05 9.32825448919
9.97857170563 7.994641941e-05 25.9678555876
11.9494491376 0.00018301998358 48.5534458537
11.9830231057 0.000715036183065 154.990259719
11.9831039407 0.000954801772709 202.943458482
11.9830136632 0.000935928389779 199.168691619
11.9831698401 0.0008444367976 180.87052936
11.9830058597 0.000739277416392 159.838489138
11.9827691116 0.000200675114984 52.1177921085
16.004471103 6.46608954561e-05 28.9366501942
19.9996937837 8.01102477229e-05 36.0217433283
19.9995231196 0.000220487977101 64.0971185397
19.9994144504 0.000529922136222 125.983841695
19.9993677862 0.00041498688836 102.996745458
19.9994745445 8.99241266586e-05 37.9842998763
19.9996755193 0.000405928895972 101.185454714
18.0208287007 6.64779309733e-05 31.3164148954
17.9848737371 7.10448483704e-05 32.1938434112
17.9846193182 6.80131614819e-05 31.5872516146
17.9847754388 0.000115540459954 41.0928674296
16.9893701754 1.17317705324e-05 19.3357242818
16.989592954 0.00127523673574 272.036940103
16.0054267889 0.000964144810332 208.834388855
16.0055902527 0.000135521721146 43.109934482
16.0052444052 0.000109936513896 37.9925471844
16.0054973357 9.15008459861e-05 34.3056665329
16.0057080462 0.000101147879076 36.2352838615
14.0442379675 7.13978147879e-05 28.3238009251
14.0442470112 0.000151803367675 44.4049205461
12.0950471576 1.58015531139e-05 15.2553577803
12.0552937564 2.59918060783e-06 12.5751298779
11.0569419243 3.50335375508e-05 18.0636494345
11.0569175219 7.59796633783e-05 26.2528501976
10.0970610774 1.613726983e-05 13.3245150434
9.96836005078 6.30960453573e-05 22.5875691222
8.98438764174 6.16278824849e-05 21.3099641387
8.00012470329 7.48963168741e-05 22.9793880781
8.00008080247 6.80683126992e-05 21.6137433423
8.0002423993 6.06073975128e-05 20.1217219019
7.00472074136 8.75911787389e-05 24.5229564891
7.0046082353 7.81098614469e-05 22.6265805247
7.00492792018 8.40008359133e-05 23.8050951028
7.00497705268 7.74444601155e-05 22.4938690758
7.00503129652 7.59241203664e-05 22.1898553698
7.00507745123 7.75516291489e-05 22.515403281
7.00486180827 7.58182667185e-05 22.168515152
7.00516223182 7.7654754581e-05 22.536113148
6.96880695158 0.000125381755611 32.0451580737
5.98460609228 0.00012496172315 30.9769507223
5.98449165992 0.00017612855403 41.2102024659
5.98443392273 0.000114474683369 28.8793705966
5.98460478509 7.80692898615e-05 21.5984627574
5.98479621269 6.8115708452e-05 19.6079379031
5.98467884159 7.31555648915e-05 20.6157918199
5.98465567131 7.32296757357e-05 20.6305908184
4.00524706384 5.09232164307e-05 14.18989035
4.00510603278 7.13948182533e-05 18.2840696834
4.00511069907 0.000164134675579 36.8320458148
2.97370887076 3.56184954158e-05 10.0974079539
2.97352919021 4.56263812113e-06 3.88605681444
2.02626090106 5.69552942055e-05 13.4173197422
2.02575374385 0.000249845037519 51.9947612477
2.025984226 7.28211580259e-05 16.5902158312
1.98926917924 3.54781898438e-05 9.084907148
1.98970133058 0.000100669692546 22.1236398398
1.9895417073 0.000130100966685 28.0097350443
1.98931333309 4.68115723766e-05 11.3516278084
1.98965875337 9.13814812458e-05 20.2659550025
1.98971138962 3.19868844178e-05 8.38708827318
9.97857754709 5.98928465505e-05 21.9571468572
11.9494549791 0.000103605562615 32.6705675021
11.9830289472 0.000178998537862 47.7827365195
11.9831097822 0.000191005731127 50.1842560076
11.9830195047 0.000190238302009 50.0306799065
11.9831756816 0.000186139029219 49.2109815253
11.9827749531 0.000109035961781 33.7899673093
16.0044769445 5.08817685269e-05 26.1808306498
19.9996996252 0.000120559051915 44.1115100081
19.9993779853 2.49403862418e-05 24.9874552337
19.9995289611 0.000114632863537 42.9261016684
19.9994202919 0.000164604261008 52.9202724934
19.999480386 6.53227884253e-05 33.0640380711
19.9996813607 0.000579837351999 135.96715176
18.0214154849 8.69503123527e-05 35.4114779555
18.0208228593 5.20002053683e-05 28.4208639329
17.9848678956 5.47533486549e-05 28.9355376266
17.9846134768 5.2934857372e-05 28.5715849512
17.9847695973 7.78629183782e-05 33.557353273
16.9893643339 1.23379839565e-05 19.4569611252
16.0054209474 0.000191376726192 54.2807661858
16.0055844113 8.64528539897e-05 33.2961552092
16.0052385637 7.5277022678e-05 31.0606430993
16.0054914942 6.61508317829e-05 29.2356578508
16.0057022048 7.10498657321e-05 30.2156753512
14.0442321261 5.49627575253e-05 25.0367836311
14.0442411697 9.28024608197e-05 32.6047333336
12.0950413161 1.69213867694e-05 15.47931867
12.0552879149 2.62778575592e-06 12.5808450661
11.0569360829 4.10576955055e-05 19.268475184
11.0569116805 5.76384697591e-05 22.5846056323
10.0970552359 1.73069536419e-05 13.5584459643
9.96835420932 4.99077679105e-05 19.9499077914
8.00011886183 5.70128723752e-05 19.4026933369
8.00007496101 5.2968259536e-05 18.5937268682
8.00023655783 4.83378002732e-05 17.6677966125
7.0047148999 6.40829204153e-05 19.821298983
7.00460239384 5.88561150349e-05 18.7758254008
7.00492207872 6.21397810295e-05 19.4328782846
7.00497121122 5.84775260063e-05 18.7004764125
7.00502545506 5.76065002311e-05 18.5263255013
7.00507160976 5.85386088742e-05 18.7127933846
7.00526399849 5.67203988015e-05 18.3493437588
7.00485596681 5.75455415753e-05 18.5139642819
5.98460025082 8.20307018102e-05 22.3907406129
5.98448581846 0.000101360477754 26.2565813692
5.98442808127 7.73774424734e-05 21.4599165759
5.98481343243 5.38356325712e-05 16.7519399467
5.98459894363 5.88330768089e-05 17.7512143054
5.98479037123 5.29969550351e-05 16.5841813783
5.98467300013 5.59985436529e-05 17.1843817307
4.00524122238 6.47278465102e-05 16.9508105244
4.00545535596 8.60014822893e-05 21.2057518138
4.00510019132 0.000101848431265 24.3747864444
4.00510485761 0.000525085810508 109.022266959
2.9737030293 4.18634346211e-05 11.3463899535
2.97352334875 4.65152322966e-06 3.90382799468
2.0262550596 7.47969834564e-05 16.9856517509
2.02574790239 0.00538716910997 1079.4595699
2.02597838454 5.58023884839e-05 13.1864560813
1.98926333778 4.16697506623e-05 10.3232134702
1.98986602236 5.69787765809e-05 13.3856213385
1.98969548912 0.000174053222538 36.8003399968
1.98953586584 8.42144611257e-05 18.832428091
1.98930749163 5.82271061663e-05 13.6347287249
1.9896529119 6.60884218888e-05 15.2073372897
9.97865512066 5.76131636861e-05 21.5012878579
9.97840315402 3.09379031014e-05 16.1659837743
10.9739917516 7.73437783657e-06 12.5208673189
11.9831206825 5.49717234044e-05 22.9774653634
11.9829707481 5.31909137752e-05 22.6211535032
11.9829994608 4.88100059536e-05 21.7450006515
11.9829501088 5.10187585134e-05 22.1867018115
11.983186582 5.45611659912e-05 22.8954197802
11.982952944 5.19785285795e-05 22.3786586599
11.9830226016 5.40642678171e-05 22.795876165
11.9830104002 5.07647889966e-05 22.1359681995
16.0044878448 3.06662576778e-05 22.1377393804
19.9995398614 4.61271048519e-05 29.2249608318
19.9994712151 3.91098445388e-05 27.8214401229
19.999384528 6.78696879933e-05 33.5733221267
19.999252011 4.3607820831e-05 28.7208161772
19.9992481511 3.46016845733e-05 26.9195850658
18.0214318653 4.67068452085e-05 27.362800907
16.9895762122 5.57786673197e-05 28.1453096761
16.9897036616 3.50252382289e-05 23.9947513074
16.0054805938 3.56218044928e-05 23.1298414924
11.0569007801 3.29975836076e-05 17.6564175016
11.0569444214 3.28994418292e-05 17.6368327873
11.0571085928 3.10105460047e-05 17.2592177937
9.96834330895 3.03097474568e-05 16.0302928003
8.98437089992 2.99668078447e-05 14.9777324689
8.06026180738 2.91875504802e-05 13.8977719034
