list1,,,list2
index,mz,rt,index,rt,mz
1,60.9930442142,957.449
2,60.9928701742,1467.34
3,60.9927989383,1541.71
4,60.9929993854,1129.66,1,60.9931116765,992.125,
5,60.9930036862,1627.7,2,60.9930285676,1489.76,
,,,3,60.9930742017,1166.68
,,,4,60.9930598784,1588.73
,,,5,60.9930063114,1556.19
,,,6,60.9931849544,1689.24
,,,7,62.964136267,1396.28
6,60.9929316865,779.083
7,61.9952304079,1669.755
8,62.9640505088,1354.92,8,62.9640932196,1468.32,
,,,9,62.9972949582,137.5305
,,,10,62.9973528545,1195.18
9,62.9639853002,1445.2
10,62.9973699108,1163.685,11,62.9974519296,1250.73,
,,,12,62.9973535047,1144.13
,,,13,62.9972867342,878.3815
,,,14,62.9973943499,949.575
11,62.9972670057,137.859,15,62.9973087478,311.7415,
12,62.997380576,1108.69
13,62.9974645403,1218.75,16,62.9973186551,1033.42,
14,62.9971826492,1580.685
15,62.9972020052,1731.98
16,62.9973657234,919.299,17,62.9974269002,1092.86,
,,,18,62.9973100146,274.297
,,,19,62.9972790935,756.633
,,,20,62.9972982895,197.353
,,,21,62.9972984237,241.921
,,,22,62.997310756,1000.755
17,62.9973660614,1006.8445,23,62.9972860303,828.1995,
18,62.9974549332,1057.935
19,62.9972304553,863.142
20,62.9973162525,297.281,24,62.9972838285,491.108,
,,,25,62.9972885066,1769.615
,,,26,62.9972915776,436.894
,,,27,62.9972860798,793.536
,,,28,62.9972793751,615.17
,,,29,62.9972827143,543.4135
21,62.9972529908,213.897,30,62.9972852951,391.88,
,,,31,62.9973005459,1852.255
22,62.997269978,742.112,32,62.9972756685,588.458,
,,,33,62.9973544035,1374.775
23,62.9972224615,526.909,34,62.9972742377,686.924,
,,,35,62.9973124677,1555.605
24,62.997258103,471.552,36,62.997287826,656.175,
,,,37,62.9973049456,1613.62
,,,38,62.9974930351,1291.68
25,62.9972883142,410.254,39,62.9973025282,346.9465,
,,,40,62.9972925829,1462.65
,,,41,62.9972964146,1652.39
,,,42,62.9973207479,1494.475
,,,43,62.9973534807,1351.23
,,,44,62.997306376,1713.16
,,,45,66.00965708,1775.59
,,,46,66.0097251253,1853.49
,,,47,66.0097332193,139.0675
,,,48,67.0189234728,1043.45
,,,49,71.0139415988,1421.1
26,62.997261687,343.384
27,67.0190664611,1034.05
28,68.9957591162,282.3845
29,71.0139188037,1385.87,50,71.0141426623,1293.24,
