""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"other"	"PBQC"	"PQC"	"X010.04006"	"X010.04010.02"	"X010.04029.02"	"X010.10032.02"	"X010.14020.02"	"X010.14021"	"X010.14026.02"	"X010.14055.02"	"X010.20035"	"X010.20059"	"X010.20077"	"X010.20123"	"X010.20131"	"X010.20212"	"X010.20235"	"X010.20251"	"X010.20257"	"X010.20267"	"X010.20269"	"X010.20300"	"X010.20343"	"X010.20352"	"X010.20388"	"X010.20390"	"X010.20462"	"X010.20500"	"X010.20526"	"X010.20560"	"X010.20577"	"X010.20588"	"X010.20607"	"X010.20682"	"X010.20759"	"X010.20797"	"X010.20798"	"X010.20821"	"X010.20839"	"X010.20851"	"X010.20895"	"X010.20896"	"X010.20947"	"X010.20969"	"X010.21002"	"X010.21051"	"X010.21052"	"X010.21057"	"X010.21091"	"X010.21184"	"X010.21195"	"X010.21291"	"X010.21321"	"X010.21352"	"X010.21360"	"X010.21380"	"X010.21426"	"X010.21500"	"X010.21503"	"X010.21531"	"X010.21568"	"X010.21591"	"X010.21672"	"X010.21686"	"X010.21704"	"X010.21707"	"X010.21709"	"X010.21750"	"X010.21764"	"X010.21829"	"X010.21833"	"X010.21835"	"X010.21836"	"X010.21951"	"X010.22007"	"X010.22010"	"X010.22012"	"X010.22031"	"X010.22052"	"X010.22072"	"X010.22159"	"X010.30003"	"X010.30089"	"X010.30104"	"X010.30195"	"X010.30284"	"X010.30334"	"X010.30356"	"X020.04136"	"X020.04148"	"X020.04192"	"X020.04240"	"X020.04314"	"X020.08007.02"	"X020.18008.02"	"X020.50079"	"X020.50106"	"X020.50150"	"X020.52010"	"X020.66040"	"X020.66048"	"X020.66066"	"X020.66096"	"X020.66133"	"X020.66137"	"X020.66138"	"X020.66151"	"X020.66155"	"X020.74039"	"X020.74072"	"X020.74103"	"X020.75002"	"pbQC101"	"pbQC102"	"pbQC103"	"pbQC104"	"pbQC105"	"pbQC106"	"pbQC107"	"pbQC108"	"pbQC109"	"pbQC110"	"pbQC111"	"pbQC112"	"Placenta.QC..102."	"Placenta.QC..103."	"Placenta.QC..105."	"Placenta.QC..106."	"Placenta.QC..107."	"Placenta.QC..108."	"Placenta.QC..109."	"Placenta.QC..110."	"Placenta.QC..111."	"Placenta.QC..112."	"Placenta.QC..113."	"isotopes"	"adduct"	"pcgroup"
"1"	60.9932778031026	60.9930300270068	60.9936477083761	1109.26	1099.01	1127.7	126	106	9	11	233230.734375	225808.484375	240469.375	199260.90625	261217.359375	167954	177416.125	247054.0625	259162.875	197282.90625	158984.640625	239194.40625	332956.0625	329975.21875	391241.6875	153714.25	249653.359375	179727.328125	137096.6875	252418.515625	160536.171875	164766.109375	199483.671875	185658.65625	248372.53125	189623.984375	327228.5625	231184.265625	302988.1875	253314.40625	225343.9375	120686.46875	289236.28125	227596.734375	314336.125	282563.03125	175113.15625	289445.1875	309831.25	255839.234375	240238.140625	212105.953125	252274.59375	281520.40625	304045.375	178442.140625	237681.53125	162891.171875	255831.421875	174221.015625	185838.015625	220718.546875	243263.84375	204641.296875	286572.25	174125.65625	212150.28125	218439.359375	257955.9375	228001.8125	292764.78125	223730.953125	267339.8125	148212.734375	274329.21875	200667.4375	332447.84375	215893.5	315079.09375	133727.640625	177154.1875	207683.1875	183502.6875	284527.625	283866.03125	162633.640625	231428.703125	203420.875	167364.75	235197.328125	195203.21875	213995.5	264631.8125	165193.53125	178787.640625	211011.15625	289047.625	196680.96875	255819.5	153165.453125	170996.515625	229564.28125	213821.5	202773.046875	208180.03125	260665.796875	137889.65625	184884.328125	259708.40625	295948.40625	331010.9375	192554	298081.40625	74273.53125	135263.65625	131018.9921875	227414.828125	222316.546875	246406.265625	122522.859375	102221.5625	172735.640625	151979.734375	196490.796875	116082.0703125	174651.109375	119429.3671875	57544.296875	158562.5625	3336.51342773438	90111.296875	89653.5703125	313762.75	268685.59375	225725.265625	199256.390625	167109.46875	268818.5625	252956.390625	229308.25	227359.828125	228351.296875	166297.65625	""	""	"262"
"2"	60.9931099178671	60.9929977378092	60.993280555935	196.925	192.811	207.175	64	49	9	6	170472.265625	86551.28125	36354.34765625	104638.5625	5185.2529296875	167254.203125	10892.60546875	35902.3125	93748.21875	89960.8359375	114711.2734375	98264.6171875	4614.3466796875	186641.4375	148202.46875	69837.4765625	158336.625	101640.4453125	31470.919921875	83524.1171875	8246.7548828125	67195.453125	35204.78515625	104797.53125	49485.125	14248.3818359375	122542.09375	5652.52783203125	99240.1015625	107304.3359375	90820.640625	7237.52099609375	16488.5	56749.12109375	109346.2421875	100579.6640625	134267.765625	124517.4296875	179637.78125	68843.984375	77664.3203125	116249.8359375	90320.015625	85647.71875	161611.28125	34848.359375	4490.2353515625	103932.359375	151756.15625	6067.51416015625	76424.9765625	4801.33251953125	4169.0048828125	88158.1875	175912.40625	9964.6513671875	179974.296875	164569.671875	81618.96875	149579.265625	59261.0234375	97055.96875	14418.080078125	124506.8515625	85436.21875	107644.6640625	179514.265625	76969.2734375	115730.7265625	8149.9208984375	23587.326171875	100966.6015625	4730.12158203125	6488.58984375	204540.171875	121320.171875	124004.0234375	105648.6875	4221.04248046875	36377.44921875	71115.5078125	79669.1875	219822.28125	55244.84375	40629.74609375	10965.49609375	250216	131707.265625	98413.234375	136729.71875	52017.9765625	129883.859375	114314.0546875	116205.40625	25652.126953125	89914.1015625	123502.3359375	131178.21875	218598.4375	4390.33056640625	191906.96875	97346.0625	69477	7134.77587890625	5759.15234375	72590.546875	117085.640625	205448.421875	79474.3203125	74122.890625	5151.2490234375	138951.296875	116002.1953125	168882.4375	120175.1640625	188544.78125	83398.21875	14902.8251953125	126479.7421875	5493.25927734375	65307.81640625	56825.0625	165543.140625	179614.1875	146566.015625	114227.3671875	3290.93530273438	121932.03125	77162.90625	11621.3212890625	26085.5	41662.00390625	29784.068359375	""	""	"105"
"3"	60.9930730970262	60.992982999841	60.9932822180224	145.67	139.519	166.172	67	52	9	6	165632.703125	81445.71875	32592.173828125	101865.09375	5957.38671875	156332.75	9553.87109375	34434.9140625	91804.25	79211.2734375	101401.734375	85131.4765625	4856.5595703125	180976.734375	145999.109375	63058.73046875	155211.109375	92061.546875	30521.646484375	84312.515625	7288.85693359375	61941.1875	29640.841796875	100875.4921875	45854.3125	10958.5634765625	121391.53125	4992.26123046875	99230.6640625	100396.90625	85156.4453125	11000.119140625	14533.6904296875	50843.54296875	99152.8046875	94144.8203125	127357.0859375	124112.109375	168961.921875	69099.390625	67495.4375	108867.4296875	80065.234375	80616.34375	161611.28125	29076.75	4839.95751953125	98943.1171875	142757.9375	4897.59423828125	66335.71875	3681.95727539062	4302.8310546875	86314.625	171198.109375	8691.1884765625	167805.921875	157858.875	77098.0234375	139731.578125	50676.125	92686.375	13234.53515625	111197.6875	81856.1328125	98754.796875	159807.984375	72304.40625	111635.890625	8340.8369140625	20286.259765625	94890.375	4655.77587890625	6741.11181640625	185699.1875	121149.0703125	107977.109375	99987.4609375	4406.21630859375	31882.46875	68974.4140625	74730.6875	212253.59375	49759.09765625	34631.39453125	9197.818359375	246974.75	128307.65625	95366.1328125	133094.234375	45012.61328125	120644.890625	118914.6875	97070.375	22722.6015625	84164.171875	108132.2578125	133997.0625	212279.828125	4115.9248046875	186415.046875	95303.7421875	67026.2578125	5908.00830078125	4349.78271484375	68845.5	107678.9453125	186060	68511.046875	71972.5078125	4955.0849609375	132536.0625	100661.921875	172150.484375	110924.4765625	176383.8125	83398.21875	15221.47265625	119634.53125	5176.2294921875	60084.17578125	53419.8984375	164526.21875	163381.53125	134996.390625	102487.328125	4172.12060546875	110719.78125	80662.40625	11275.5224609375	22057.365234375	39657.890625	22834.46484375	""	""	"107"
"4"	60.993124643889	60.9929456623904	60.993370212739	313.779	294.602	326.084	83	65	11	7	134241.421875	70520.2109375	30516.513671875	81392.7578125	5995.69580078125	65934.125	10424.16796875	27274.03515625	77746.65625	65967.3359375	84295.7890625	77847.015625	11159.1318359375	147160.5625	114171.1484375	54169.390625	121975.375	63490.125	29508.70703125	69572.9921875	10327.275390625	50733.16796875	24707.1328125	82690.5234375	37827.9296875	11540.1953125	94475.921875	7057.80908203125	76461.4609375	77231.7265625	66257.390625	3342.37329101562	13801.0908203125	45635.48828125	85598.4296875	80578.9296875	108582.171875	106565.0703125	137303.890625	57953.86328125	53328.61328125	100349.4296875	67044.3984375	71776.40625	126934.6171875	26125.615234375	12384.736328125	77542.71875	110379.3359375	11365.3876953125	53879.4609375	9639.1728515625	14420.7646484375	80743.203125	140863.625	8243.0029296875	139588.921875	126349.5859375	62195.22265625	113312.25	45304.53125	75034.65625	15921.4599609375	95229.5859375	60396.75	80663.9453125	139064.828125	67061.6328125	95555.0546875	8608.65625	19491.556640625	80097.09375	11232.078125	6374.6533203125	155052.328125	103965.5625	90931.40625	84442.109375	26879.517578125	28804.74609375	62020.6484375	63278.59765625	167398.0625	42778.01953125	33252.2578125	9354.2021484375	203889.484375	98502.59375	76565.796875	106482.4453125	37603.90625	92085.046875	88219.8828125	86609.4609375	21353.955078125	68738.2109375	100883.4296875	105514.6484375	185760.625	7974.6845703125	157607.96875	72613.359375	47800.921875	14000.6904296875	7036.724609375	55844.07421875	88796.75	164969.1875	56829.96484375	57457.203125	19909.009765625	101659.4296875	99615.0390625	128732.40625	101109.34375	138895.15625	78525.2421875	33734.04296875	105981.71875	27458.873046875	67675.796875	61658.13671875	136346.171875	142450.78125	104645.390625	80172.3046875	8549.2177734375	94227.0546875	54065.4140625	9315.984375	18837.3046875	32254.30859375	24854.833984375	""	"[M-H]- 62.0004"	"57"
"5"	60.9929947161535	60.9928612935379	60.9932063274232	1636.16	1627.26	1662.85	66	51	5	10	20632.6484375	34128.7265625	37837.11328125	22563.197265625	38346.671875	20121.865234375	35951.15234375	32277.50390625	36592.7578125	32715.9296875	33445.203125	35409.546875	48832.796875	44259.09375	46253.8828125	20038.869140625	35504.78125	13806.75	19026.892578125	43013.640625	21640.30078125	20284.41015625	34618.96875	19020.685546875	43110.56640625	32758.4765625	41292.96875	34230.125	51459.9453125	42188.47265625	42026.87890625	16867.43359375	37064.125	32565.3515625	40599.1875	36633.71875	21444.12109375	55866.87109375	47529.05078125	50968.56640625	33085.96484375	27981.13671875	42450.1640625	37952.0703125	40238.2890625	23968.751953125	23634.5078125	26049.67578125	33454.95703125	23259.65234375	37536.1953125	29788.94921875	38462.6796875	29650.009765625	41434.875	27802.828125	21145.87890625	25590.052734375	28690.51171875	28616.853515625	33741.6328125	36121.44140625	51871.53125	17065.259765625	35509.90234375	25186.20703125	41955.33984375	29003.4609375	48256.60546875	16778.744140625	27012.900390625	25734.185546875	25180.69921875	56724.03125	41095.71875	23517.52734375	22532.259765625	33629.671875	27774.90234375	39915.625	35841.0234375	25816.923828125	21540.8046875	31664.357421875	33428.12890625	35266.828125	28474.07421875	37848.421875	33943.26171875	23130.57421875	25383.6328125	33476.62890625	25124.169921875	28845.6875	39892.80859375	45590.515625	16132.3408203125	22281.45703125	30343.25	47470.6484375	42157.74609375	30004.470703125	34836.359375	16549.765625	17625.798828125	15017.7822265625	30469.84375	28291.91015625	47446.875	17341.6875	24423.712890625	22376.76171875	17960.58203125	15468.4287109375	16884.85546875	13175.7421875	12605.380859375	12094.03125	15415.2333984375	11547.6435546875	11419.3955078125	10349.3779296875	44959.484375	39924.09765625	34861.80859375	33382.6328125	28697.365234375	49099.8125	45121.30078125	41372.21875	35059	38144.65625	22132.060546875	""	""	"124"
"6"	60.9930314827654	60.9929032766266	60.9932132737968	1796.175	1791.05	1800.23	48	37	4	7	37469.4453125	65331.875	5042.16357421875	37397.6640625	14311.0107421875	61159.30859375	19208.177734375	11009.0908203125	14326.6123046875	3661.73681640625	21256.82421875	46414.2890625	31914.41015625	85034.6328125	76846.9921875	14877.3759765625	22064.3203125	17820.763671875	8353.53515625	3510.34326171875	3843.16870117188	28700.923828125	2998.28271484375	16608.076171875	61191.24609375	4128.111328125	36830.890625	4167.64990234375	34953.8828125	101952.328125	35177.19921875	3195.36303710938	4877.46826171875	5834.29345703125	20228.35546875	12660.62890625	3680.92309570312	32334.435546875	60314.3515625	4787.27685546875	17131.6796875	151507.96875	18172.828125	15707.404296875	108620.796875	5609.01611328125	4964.66259765625	55118.14453125	80082.65625	5094.84912109375	8584.103515625	6487.5810546875	5764.7314453125	13283.3515625	37154.41796875	8412.96875	58937.91796875	24672.501953125	10606.1875	5945.90234375	11675.830078125	23977.8671875	67535.7734375	38852.90625	19834.88671875	31177.533203125	78894.1328125	25082.603515625	17625.060546875	4175.69921875	7609.0048828125	27692.697265625	7996.75048828125	3721.02075195312	63307.51171875	37235.7109375	42526.80859375	7323.16845703125	9302.533203125	16904.015625	28714.287109375	42648.49609375	86754.3046875	5610.0888671875	32918.4140625	3635.92626953125	87583.03125	16789.138671875	17007.3671875	55846.74609375	6654.93212890625	31184.333984375	15400.322265625	42965.90234375	4223.77685546875	7951.9599609375	86585.1953125	48591.703125	6184.31103515625	26460.81640625	9527.79296875	145800.078125	3937.10595703125	33543.9140625	6232.1552734375	3709.7451171875	4530.0126953125	65803.3671875	15219.03125	27518.5546875	4966.986328125	34964.1640625	30685.6953125	30243.765625	50594.48046875	113525.765625	14814.0908203125	5188.2626953125	13071.8046875	9901.609375	12466.75	6631.00537109375	106128.125	74596.4375	75544.140625	27171.169921875	12209.603515625	25363.78515625	16867.13671875	19338.544921875	4143.5693359375	13481.31640625	7731.857421875	""	""	"129"
"7"	60.9930431442257	60.9929266927549	60.9932502487559	1699.71	1693.42	1732.89	68	54	4	10	38141.6015625	29188.841796875	33086.671875	31422.275390625	45024.78125	24284.5546875	40880.9765625	34177.61328125	44827.84375	8351.0986328125	22606.546875	34335.8515625	28056.353515625	43496.53125	35749.25390625	24523.451171875	21812.8671875	34169.1796875	36428.94140625	7929.66748046875	16269.3330078125	45018.7578125	8300.7509765625	31946.56640625	51095.2578125	35592.578125	41875.265625	48883.953125	45546.06640625	49076.875	37404.16015625	4468.21142578125	49187.859375	42848.4921875	46541.4609375	32191.5390625	9549.97265625	41537.4296875	49721.28515625	16266.5751953125	39830.28125	44800.37109375	40427.515625	53801.0703125	48729.17578125	32999.75390625	38173.984375	36729.625	48004.41796875	15579.826171875	36984.5390625	40268.1015625	42549.44921875	36323.8828125	46591.88671875	40294.15234375	44703.828125	21986.859375	43748.3046875	40070.578125	47318.390625	48933.40625	51100.734375	35956.3359375	39410.328125	22965.44921875	45827.125	29770.51171875	38455.078125	43204.10546875	40668.60546875	40944.1640625	44245.8828125	42435.5	38036.515625	30570.92578125	34193.1328125	20859.69921875	45549.7421875	35813.390625	35399.0234375	28740.287109375	37904.63671875	27417.73828125	34294.734375	16422.927734375	51485.05859375	19816.845703125	51580.109375	29304.974609375	38105.875	47819.84375	34808.22265625	36290.95703125	46072.2734375	50312.55078125	38449.84375	34088.6640625	11128.8857421875	27669.22265625	18487.92578125	34348.60546875	15825.564453125	24359.98828125	46247.68359375	17086.056640625	36407.2734375	46931.93359375	44016.9765625	28779.84765625	8401.990234375	39502.25	38108.60546875	36695.578125	28767.2734375	45721.95703125	54576.6484375	39407.38671875	45742.5546875	46833.06640625	39107.75	28641.7734375	43248.98828125	41553.05859375	36762.24609375	21696.244140625	30759.79296875	51825.55859375	50131.52734375	38965.71875	39530.07421875	35941.8984375	49155.38671875	""	""	"47"
"8"	60.9930951247143	60.9929923679093	60.9932957108083	246.131	241.835	252.279	45	33	8	4	148949.046875	70582.03125	28294.306640625	85470.078125	4706.98974609375	143516.796875	9624.0615234375	31913.73046875	84003.265625	64111.3125	86043.9453125	81708.6796875	3738.12475585938	170385.484375	134408.359375	52046.20703125	133168.78125	72821.7734375	26243.23046875	76477.546875	6867.15625	54148.359375	24430.3359375	89585.1953125	38498.12109375	11837.970703125	101715.3203125	6341.03369140625	81958.2578125	84871.84375	78729.1796875	5643.376953125	13754.677734375	52380.12890625	95129.2109375	92318.828125	115686.3359375	103010.34375	146772.59375	62692.48828125	61609.42578125	106863.0703125	73675.46875	76841.4140625	144558.3125	28464.505859375	4874.82763671875	80162.125	127332.765625	4823.18212890625	60659.93359375	3826.08569335938	3896.49609375	72313.6015625	161153.390625	7835.34130859375	160425.25	143020.328125	67469.1953125	122086.734375	47776.65234375	81656.046875	14288.056640625	105826.0078125	68764.2265625	74743.2265625	158899.453125	63662.46875	96937.875	6864.98583984375	16853.72265625	83371.84375	3448.51000976562	5112.2783203125	170732.671875	99257.15625	98236.2265625	85994.390625	3585.40258789062	27844.564453125	55460.125	67165.1171875	188351	40736.69140625	33176.703125	10038.0908203125	228436.234375	114329.59375	81649.5703125	116328.5078125	37608.54296875	96653.8984375	94464.25	95021.3203125	19281.759765625	77318.8359375	101295.2578125	105609.1328125	197975.515625	4099.1826171875	180169.21875	80253.609375	56333.09765625	6128.06201171875	4587.322265625	59265.2421875	93010.625	174112.125	64328.46875	58417.2421875	3760.14379882812	104320.453125	85379.6953125	143921.609375	95654.6484375	152590.671875	59376.3515625	11359.6220703125	96806.8828125	3511.21655273438	46453.63671875	40885.6015625	146417.625	144863.234375	117256.0703125	85714.1328125	2818.01953125	106598.0625	67336.2734375	8147.34326171875	18909.052734375	35029.19140625	22841.533203125	""	""	"61"
"9"	60.9932033391485	60.9928936845944	60.9937506810878	1293.88	1267.13	1310.18	67	52	6	6	103202.7578125	35624.140625	133713.84375	78269.546875	18085.57421875	16164.8876953125	44230.140625	113777	165140.796875	81486.1640625	59917.203125	123768.515625	36896.8359375	119480.5859375	98215.21875	147698.5	97558.0234375	58442.42578125	117548.75	169013.15625	14776.26171875	129251.140625	120404.6796875	55468.1953125	35824.93359375	45197.578125	125588.8046875	40156.046875	172237.375	81551.9375	91668.4921875	12156.400390625	149925.15625	177543.6875	151868.546875	126755.234375	54938.04296875	126060.84375	52132.56640625	144313.265625	118902.296875	35787.40625	172398.03125	181853.984375	102112.0390625	127841.40625	19680.6796875	38085.234375	101264.671875	62111.96875	131073.390625	26369.787109375	23370.859375	81929.5390625	134987.265625	37076.3046875	57191.71875	61351.984375	103491.171875	23711.330078125	156081.328125	157442.140625	27008.44140625	46535.66796875	118582.2265625	57537.6640625	62361.81640625	48722.9296875	145765.390625	127250.84375	65943.8515625	124685.1328125	35554.4375	103916.0078125	104302.046875	61227.7890625	71418.5390625	113548.125	15609.3740234375	93469.890625	71950.9375	39558.33203125	69163.9140625	158389.9375	52246.6328125	116798.5234375	67266.40625	49379.71875	153190.484375	51331.0234375	136970	145179.3125	131579.0625	37267.63671875	172810.90625	157842.234375	35989.50390625	47762.72265625	66476.3828125	26951.546875	114988.921875	32989.55078125	161303.5	7247.73828125	20398.38671875	135073.984375	146122.65625	48886.19921875	140915.125	30579.734375	12243.005859375	102225.953125	69566.6015625	131726.0625	41749.6953125	99070.546875	145012.21875	154609	160960.96875	8459.0966796875	126103.1796875	152141.3125	53846.01171875	50455.98828125	39683.8125	51070.53125	15696.3603515625	150787.421875	150532.484375	104310.921875	88774.2890625	78235.8515625	99574.1875	""	"[M-H]- 62.0005"	"300"
"10"	60.9930995263195	60.9930109055896	60.9932508006739	797.627	789.242	809.933	51	39	8	4	142181.765625	68745.375	37786.734375	88511.0546875	5038.63525390625	146318.578125	13217.966796875	33651.6171875	93122.359375	74959.6953125	88186.6875	84352.2109375	5196.67431640625	153925.6875	137522	62104.37109375	133539.4375	79526.8515625	34847.234375	81636.9921875	5821.00390625	63165.58203125	33002.765625	91774.5703125	38158.796875	14485.7373046875	100931.625	5899.28173828125	86130.3203125	84451.53125	74314.03125	6964.93701171875	18590.939453125	59309.68359375	92825.4453125	91361.484375	119813.1328125	106005.9140625	137339	67415.6796875	65484.05078125	96715.59375	76226.765625	81933.078125	138518.8125	35420.625	4610.1435546875	84507.796875	125406.875	4593.51171875	64069.33203125	3913.40112304688	3375.970703125	80754.515625	151927.96875	9510.587890625	158337.890625	141679.734375	74436.25	114738.1171875	53982.30859375	88990.9140625	13035.2841796875	103490.2109375	72181.9375	90555.15625	150069.515625	70536.8984375	99632.1484375	8693.64453125	19858.7109375	91224.9296875	4254.287109375	6190.52099609375	170608.078125	101741.3125	98527.2734375	92769.7265625	4448.99658203125	35344.359375	64210.296875	63753.8984375	186526.953125	51686.828125	38213.74609375	10591.9091796875	219196.421875	109911.2578125	83251.3984375	110791.0546875	49698.87890625	103962.390625	104049.046875	95344.7265625	28736.689453125	83151.3828125	96382.3671875	103769.828125	178781.046875	4644.55517578125	168421.90625	76154.9765625	62994.97265625	6430.86767578125	4506.0546875	63225.28515625	101107.1875	159523.3125	68254.1171875	62742.8359375	4376.88525390625	115055.984375	100367.4609375	158990.03125	98445.5859375	146562.015625	77207.359375	14267.12890625	109677.7578125	4210.66748046875	60726.3671875	56348.03515625	138846.890625	141434.25	120547.1328125	90025.53125	3638.77270507812	99738.546875	58073.51171875	8595.259765625	19055.185546875	36665.84375	30182.53515625	""	""	"113"
